style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Canon EOS R5 Профессиональный портрет | Портрет Canon EOS R5,"Canon EOS R5, объектив Canon RF 85mm f/1.2L USM, диафрагма f/1.4, выдержка 1/125s, ISO 100, мягкое оконное освещение с рефлектором, резкий фокус на глазах, кремовый фон боке, профессиональная цветокоррекция","размыто, мультфильм, аниме, рисунок, живопись, шум, зерно, переэкспонировано, недоэкспонировано, плохая композиция"
Sony A7IV Свадебный документальный | Свадебный документ Sony A7IV,"Sony A7IV, объектив Sony FE 35mm f/1.4 GM, диафрагма f/2.0, выдержка 1/60s, ISO 800, естественное освещение церемонии с заполняющей вспышкой, искренние моменты, документальный стиль, текстура зерна пленки","постановочное фото, мультяшные персонажи, аниме стиль, иллюстрация, размытие движения, плохое освещение, нежелательное зерно"
Nikon D850 Пейзажный шедевр | Пейзаж Nikon D850,"Nikon D850, объектив Nikon 14-24mm f/2.8G ED на 16mm, диафрагма f/11, выдержка 2 секунды, ISO 64, солнечный свет золотого часа, градиентный ND-фильтр, гиперфокальное расстояние, эпический горный пейзаж, яркие цвета","размыто, мультяшный пейзаж, аниме стиль, живопись, дисторсия, хроматические аберрации, плохая линия горизонта"
Fujifilm X-T4 Уличная фотография | Уличная Fujifilm X-T4,"Fujifilm X-T4, объектив Fujinon XF 23mm f/1.4 R, диафрагма f/2.8, выдержка 1/250s, ISO 400, только естественное освещение, съемка в стиле Leica M, черно-белое преобразование с красным фильтром","поставленные сюжеты, мультяшные люди, аниме персонажи, иллюстрация, вспышка, размытие движения"
Leica M11 Документальный | Документальный Leica M11,"Leica M11, объектив Summilux-M 35mm f/1.4 ASPH, диафрагма f/2.0, выдержка 1/125s, ISO 400, документальный стиль при естественном освещении, естественные тени, цветовая наука Leica, структура зерна","цифровой вид, мультяшные персонажи, аниме стиль, иллюстрация, искусственное освещение, переобработка"
Hasselblad X2D Средний формат | Средний формат Hasselblad X2D,"Hasselblad X2D 100C, объектив XCD 45mm f/4, диафрагма f/5.6, выдержка 1/60s, ISO 100, студийное стробоскопическое освещение с софтбоксами, детализация среднего формата, идеальная текстура кожи, коммерческое качество","размыто, вид камеры телефона, мультяшные персонажи, аниме стиль, иллюстрация, шум, зерно"
Canon EOS R3 Спортивный экшен | Спортивный Canon EOS R3,"Canon EOS R3, объектив Canon RF 70-200mm f/2.8L IS USM на 200mm, диафрагма f/2.8, выдержка 1/2000s, ISO 1600, стадионное освещение, трекинг фокуса AI servo, замороженное движение, профессиональная спортивная фотография","размытие движения, мультяшные спортсмены, аниме стиль, иллюстрация, размытый объект, плохое время"
Sony A7SIII Низкий свет | Низкий свет Sony A7SIII,"Sony A7SIII, объектив Sony FE 24mm f/1.4 GM, диафрагма f/1.4, выдержка 30 секунд, ISO 3200, настройка астрофотографии, трекинг ночного неба, видно ядро Млечного Пути, резкость звезд","световое загрязнение, мультяшные звезды, аниме стиль, иллюстрация, чрезмерное шумоподавление, размытые звезды"
Phase One XT Технический | Технический Phase One XT,"Phase One XT IQ4 150MP, объектив Schneider Kreuznach 32mm f/4, диафрагма f/8, выдержка 1/30s, ISO 50, архитектурная фотография, контроль перспективы, эффект наклона-сдвига, детали фасада здания","дисторсия, мультяшные здания, аниме стиль, иллюстрация, сходящиеся линии, плохая перспектива"
Pentax 645Z Студийная мода | Студийный модный Pentax 645Z,"Pentax 645Z, объектив Pentax FA 75mm f/2.8, диафрагма f/4.0, выдержка 1/125s, ISO 100, стробоскопическое освещение Profoto с бьюти-дишем и контровым светом, позирование модели, высокая мода в редакционном стиле","размыто, мультяшная модель, аниме стиль, иллюстрация, плохая настройка освещения, любительская композиция"
