style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Classic Disney 2D | Классический Disney 2D,"классический стиль анимации Disney, ручная 2D анимация, плавные движения персонажей, яркая цветовая палитра, выразительные мимические выражения, эстетика эпохи Микки Мауса, техника чернил и красок","аниме стиль, 3D рендеринг, фотореалистичные текстуры, современный CGI, нечеткие линии, темные взрослые темы"
Warner Bros Golden Age | Золотой век Warner Bros,"стиль Warner Bros Looney Tunes, принципы анимации Текса Эйвери, преувеличенное сжатие и растяжение, влияние резиновых шлангов, дизайн персонажа Багза Банни, яркие фоны, комедийное тайминг","аниме эстетика, стиль принцесс Disney, 3D модели, реалистичные пропорции, темные серьезные темы, современный цифровой рендеринг"
Pixar 3D Render | Pixar 3D рендеринг,"стиль студии Pixar, 3D компьютерная анимация, подповерхностное рассеивание кожи, детализированные текстуры, выразительный дизайн персонажей, подводное освещение В поисках Немо, кинематографическая композиция","аниме стиль, ручная 2D, плоские цвета, минимальная детализация, низкополигональные модели, традиционная анимация на целлулоиде"
DreamWorks Modern | Современный DreamWorks,"стиль DreamWorks Animation, дизайн персонажа Шрека, преувеличенные пропорции, детализированное окружение, выразительная мимика, современный CGI конвейер, комедийные выражения персонажей","аниме эстетика, классический Disney, ручная анимация, минимальная детализация, темные готические темы, традиционные акварельные фоны"
Hanna-Barbera Limited Animation | Hanna-Barbera ограниченная анимация,"стиль Hanna-Barbera, техника ограниченной анимации, дизайн персонажа Йоги Медведя, упрощенные фоны, принципы экономии анимации, эстетика субботнего утра, плоская цветовая палитра","качество Pixar, аниме эстетика, детализированная анимация, 3D рендеринг, сложные фоны, кинематографическое освещение"
Fleischer Studios Rubber Hose | Fleischer резиновые шланги,"стиль Fleischer Studios, техника анимации резиновых шлангов, дизайн персонажа Бетти Буп, влияние ротоскопирования, эстетика 1930-х годов, сюрреалистические сонные последовательности, влияние джазовой эры","современный CGI, аниме эстетика, стиль принцесс Disney, реалистичные пропорции, цифровой рендеринг, современные темы"
UPA Modern Design | UPA современный дизайн,"стиль студии UPA, влияние современного искусства, дизайн Джеральда МакБуинга, минималистичный дизайн персонажей, стилизованные фоны, принципы ограниченной анимации, графический подход к искусству","детализированная анимация, аниме стиль, Disney классика, 3D рендеринг, фотореалистичные текстуры, традиционные фоны"
MGM Tom and Jerry | MGM Том и Джерри,"стиль MGM, комедийный слэпстик Тома и Джерри, детализированные анимационные последовательности, сложные движения персонажей, выразительная мимика, качество анимации 1940-х годов, режиссура Уильяма Ханны и Джозефа Барберы","ограниченная анимация, аниме эстетика, принцессы Disney, современный CGI, плоские цвета, минимальная детализация"
Walt Disney Princess Era | Эра принцесс Disney,"стиль эпохи принцесс Walt Disney, детализированные фоны Спящей красавицы, ручная покраска целлулоидов, романтические дизайны персонажей, элегантные движения, интеграция классической музыки, эстетика сказки","аниме стиль, мультяшная комедия, современный CGI, темные взрослые темы, ограниченная анимация, пропорции резиновых шлангов"
Nickelodeon Cartoon Network | Nickelodeon Cartoon Network,"стиль Nickelodeon, дизайн персонажа Спанч Боба, жирные контуры, яркие цвета, преувеличенные выражения, комедийный тайминг, конвейер анимации для телевидения, современная мультяшная эстетика","аниме эстетика, Disney классика, качество ручной анимации для кино, реалистичные пропорции, темные серьезные темы, традиционная анимация"
Cartoon Network Modern | Cartoon Network современный,"современный стиль Cartoon Network, дизайн персонажа Время приключений, минималистичное художественное направление, цветовые блоки, сюрреалистичные окружения, экспериментальные анимационные техники, влияние независимых мультфильмов","аниме стиль, принцессы Disney, традиционная анимация на целлулоиде, фотореалистичные текстуры, 3D рендеринг, классическая музыкальная партитура"
Aardman Stop Motion | Aardman стоп-моушн,"стиль Aardman Animations, стоп-моушн техника, дизайн персонажей Уоллеса и Громита, глиняная анимация, детализированные миниатюрные декорации, британское юмористическое влияние, текстурированные поверхности, покадровая анимация","3D CGI, аниме эстетика, ручная 2D анимация, плавная анимация, цифровой рендеринг, современная мультяшная комедия"
Laika Dark Fairy Tale | Laika темная сказка,"стиль Laika Studios, дизайн персонажа Коралины, темная эстетика сказки, детализированная анимация кукол, готические окружения, жуткая атмосфера, психологические темы","яркие радостные цвета, аниме стиль, эстетика принцесс Disney, анимация резиновых шлангов, минималистичный дизайн, комедийный тайминг"
Blue Sky Studios | Blue Sky Studios,"стиль Blue Sky Studios, дизайн персонажа Ледникового периода, детализированная шерсть, 3D компьютерная анимация, выразительные лица персонажей, семейная комедия, техники кинематографического освещения","аниме эстетика, ручная 2D анимация, текстура стоп-моушна, темные готические темы, традиционная анимация на целлулоиде, ограниченная анимация"
Sony Animation Modern | Sony Animation современный,"стиль Sony Pictures Animation, техника Человека-паука: Через вселенные, переходы комиксных панелей, полутоновые точки, жирные контуры, яркие цветовые блоки, экспериментальная анимация","традиционная анимация, аниме стиль, Disney классика, 3D фотореалистичный рендеринг, эстетика ручного рисунка, классическая музыка"
Illumination Entertainment | Illumination Entertainment,"стиль Illumination Entertainment, дизайн персонажей Миньонов, простые геометрические формы, яркая цветовая палитра, комедийные выражения персонажей, семейная анимация, глобальная эстетика","детализированная анимация, аниме эстетика, темные взрослые темы, традиционная ручная анимация, сложные фоны, серьезный драматический тон"
CalArts Modern | CalArts современный,"стиль выпускников CalArts, экспериментальный дизайн персонажей, минималистичные фоны, смелые цветовые решения, эстетика независимых мультфильмов, качество студенческих работ, художественное выражение","массовая анимация, аниме стиль, эстетика принцесс Disney, 3D рендеринг, традиционные техники, коммерческая привлекательность"
Newgrounds Flash Era | Эра Flash Newgrounds,"стиль анимации Newgrounds Flash, дизайн персонажа Хоумстар Раннера, ограниченная анимация, влияние интернет-мемов, грубая юмористическая эстетика, качество веб-мультфильмов, простая векторная графика","профессиональная студийная анимация, аниме эстетика, качество Disney, 3D рендеринг, детализированные фоны, кинематографическая композиция"
Adult Swim Late Night | Adult Swim поздней ночью,"стиль Adult Swim, дизайн персонажа Рика и Морти, темы взрослого юмора, сюрреалистичные анимационные последовательности, ограниченная анимация, эстетика позднего ночного телевидения, темная комедия","детская анимация, аниме стиль, принцессы Disney, яркие радостные цвета, традиционная анимация, семейные темы"
Disney Renaissance | Дисней Возрождение,"стиль эпохи Возрождения Disney, дизайн персонажа Короля Льва, детализированная ручная 2D анимация, влияние бродвейских мюзиклов, эмоциональное повествование, реалистичные движения животных, кинематографический масштаб","ограниченная анимация, аниме эстетика, современный CGI, пропорции резиновых шлангов, плоские цвета, минималистичные фоны"
Warner Bros Modern | Warner Bros современный,"современный стиль Warner Bros, дизайн персонажа Космического джема, гибрид 2D/3D техник, камео знаменитостей, спортивная комедия, качество theatrical релиза, детализированные фоны","оригинальная анимация 1940-х годов, аниме стиль, эстетика принцесс Disney, темные взрослые темы, минималистичный дизайн, только традиционная ручная анимация"
Pixar Emotional Storytelling | Pixar эмоциональный нарратив,"стиль Pixar эмоционального повествования, эстетика открывающей последовательности Вверх, детализированные выражения персонажей, трогательные моменты, семейные темы, кинематографическое освещение, мастерство 3D анимации","аниме стиль, только комедийная анимация, темные взрослые темы, ручная 2D анимация, ограниченная анимация, традиционные фоны"
DreamWorks Musical Comedy | DreamWorks музыкальная комедия,"стиль музыкальной комедии DreamWorks, дизайн персонажа Мадагаскара, озвучка знаменитостей, саундтрек поп-музыки, комедийный тайминг, выразительные анимации персонажей, яркие окружения","аниме эстетика, диснеевские принцессы-мюзиклы, темные серьезные темы, традиционная ручная анимация, минималистичный дизайн, драматическая трагедия"
Blue Sky Character Comedy | Blue Sky комедия персонажей,"стиль Blue Sky комедии персонажей, дизайн персонажа Роботов, механическое построение мира, слэпстик юмор, детализированные машинные окружения, семейная комедия, выразительные лица роботов","аниме стиль, темные взрослые темы, эстетика принцесс Disney, ручная 2D анимация, минималистичные фоны, серьезный драматический тон"
Aardman British Humor | Aardman британский юмор,"стиль Aardman британского юмора, дизайн персонажа Шона овцы, эстетика сухого юмора, текстура глиняной анимации, пасторальные фоны, мягкая комедия, очарование стоп-моушна, британские культурные отсылки","аниме эстетика, американская мультяшная комедия, 3D CGI, темные взрослые темы, быстрый экшен, супергеройские темы"
Laika Gothic | Laika готика,"стиль Laika готической анимации, дизайн персонажа Паранормана, сверхъестественные темы, детализированные декорации стоп-моушна, жуткая атмосфера, элементы психологического хоррора, семейные страхи","яркий радостный стиль Disney, аниме эстетика, анимация резиновых шлангов, комедийные мультяшные персонажи, минималистичные фоны, традиционная анимация на целлулоиде"
Sony Spider-Verse | Sony Спайдер-Вселенная,"стиль Sony Spider-Verse, визуальные техники Через вселенные, переходы комиксных панелей, полутоновые узоры, жирные контуры, яркие цветовые блоки, комбинация множественных стилей искусства","традиционная анимация, аниме стиль, эстетика принцесс Disney, 3D фотореалистичный рендеринг, только ручной рисунок, классическая оркестровая музыка"
Illumination Minions | Illumination Миньоны,"стиль Illumination Миньонов, желтые капсуловидные персонажи, простой геометрический дизайн, эстетика бессмысленного языка, слэпстик комедия, семейные развлечения, глобальная привлекательность франшизы","детализированный дизайн персонажей, аниме эстетика, темные взрослые темы, традиционные анимационные техники, серьезный драматический тон, сложные фоны"
Disney Pixar Hybrid | Disney Pixar гибрид,"гибридный стиль Disney-Pixar, дизайн персонажа Храброго сердца, детализированные шотландские пейзажи, традиционное повествование с современным CGI, эмоциональная глубина, семейные темы, кинематографическое качество","аниме эстетика, анимация резиновых шлангов, техника ограниченной анимации, темные хоррор темы, минималистичный дизайн, взрослый ориентированный контент"
Warner Bros Looney Tunes Revival | Looney Tunes возрождение,"стиль возрождения Warner Bros Looney Tunes, эстетика Космического джема: Новое наследие, современный CGI встречает классических персонажей, баскетбольная комедия, камео знаменитостей, ностальгические отсылки, качество theatrical релиза","оригинальная анимация 1940-х годов, аниме стиль, эстетика принцесс Disney, темные взрослые темы, минималистичный дизайн, только традиционная ручная анимация"
Nickelodeon SpongeBob | Nickelodeon Спанч Боб,"стиль Nickelodeon Спанч Боба, эстетика подводной комедии, натуралистическая чепуха, преувеличенные выражения персонажей, жирные контуры, яркие цвета, абсурдистский юмор","аниме эстетика, стиль принцесс Disney, реалистичные пропорции, темные серьезные темы, традиционные анимационные техники, драматическое повествование"
Cartoon Network Adventure Time | Cartoon Network Время приключений,"стиль Cartoon Network Время приключений, сюрреалистичная фэнтези эстетика, минималистичный дизайн персонажей, яркие цветовые блоки, сновидческие окружения, экспериментальное повествование, влияние независимых мультфильмов","аниме стиль, классическая анимация Disney, фотореалистичные текстуры, 3D рендеринг, традиционные фоны, массовая коммерческая привлекательность"
Disney Channel Modern | Disney Channel современный,"современный стиль Disney Channel, дизайн персонажа Финеса и Ферба, геометрические формы, яркая цветовая палитра, комедийный тайминг, семейный юмор, конвейер телевизионной анимации","аниме эстетика, классическая ручная анимация Disney, темные взрослые темы, качество theatrical релиза, сложные фоны, драматическое повествование"
