style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Studio Ghibli Fantasy | Фэнтези Studio Ghibli,"Studio Ghibli animation style, Hayao Miyazaki direction, hand-drawn watercolor backgrounds, soft pastel color palette, detailed nature environments, flying sequences, European countryside aesthetic, magical realism","3D CGI rendering, anime style, cartoon comedy, modern digital effects, dark mature themes, limited animation technique"
Madhouse Psychological | Психологический Madhouse,"Madhouse studio psychological anime style, Satoshi Kon direction, Perfect Blue aesthetic, surreal dream sequences, reality-bending visual effects, detailed psychological character studies, complex narrative structure","Disney animation style, cartoon comedy, bright cheerful colors, simple character designs, traditional backgrounds, rubber hose animation"
Toei Animation Classic | Классический Toei,"Toei Animation golden age style, 1970s anime aesthetic, hand-painted cel animation, Dragon Ball Z early episodes influence, simple character designs, limited animation technique, vibrant color blocking","modern CGI rendering, anime style, detailed backgrounds, photorealistic textures, complex character designs, 3D effects"
Ufotable UHD Cinematic | Ufotable кинематографический,"Ufotable studio UHD cinematic style, Demon Slayer animation quality, detailed particle effects, fluid sword fighting sequences, vibrant color grading, dramatic lighting contrasts, theatrical film quality","limited animation, anime style, hand-drawn 2D only, traditional cel painting, flat colors, simple backgrounds"
Kyoto Animation Slice of Life | Киото повседневность,"Kyoto Animation slice of life style, K-On! character design, detailed school environments, expressive character emotions, soft color palette, gentle comedy timing, emotional storytelling","dark mature themes, anime style, action sequences, 3D rendering, complex backgrounds, dramatic lighting"
MAPPA Dark Fantasy | MAPPA темное фэнтези,"MAPPA studio dark fantasy style, Chainsaw Man aesthetic, gritty urban environments, detailed gore effects, exaggerated character expressions, modern anime visual techniques, mature themes","bright cheerful colors, anime style, Disney princess aesthetic, hand-drawn 2D animation, traditional backgrounds, family-friendly themes"
A-1 Pictures Isekai | A-1 Pictures исекай,"A-1 Pictures isekai anime style, Sword Art Online character design, detailed virtual reality environments, modern character aesthetics, vibrant action sequences, digital interface elements, contemporary anime quality","classic 1980s anime style, anime style, limited animation, traditional backgrounds, hand-painted cels, rubber hose proportions"
Bones Mecha | Bones меха,"Bones studio mecha anime style, Fullmetal Alchemist Brotherhood aesthetic, detailed mechanical designs, fluid action sequences, realistic character proportions, cinematic lighting techniques, dramatic compositions","cartoon comedy style, anime style, simple character designs, bright cheerful colors, traditional backgrounds, limited animation"
Trigger Experimental | Trigger экспериментальный,"Trigger studio experimental anime style, Kill la Kill aesthetic, exaggerated character proportions, vibrant color blocking, surreal visual effects, dynamic camera angles, avant-garde animation techniques","traditional anime style, anime style, Disney animation quality, hand-drawn 2D only, classic character designs, conservative visual approach"
Shaft Surreal | Shaft сюрреализм,"Shaft studio surreal anime style, Monogatari series aesthetic, Akiyuki Shinbo direction, unusual camera angles, text overlays, minimalist backgrounds, psychological visual storytelling, experimental composition","conventional anime style, anime style, realistic proportions, detailed backgrounds, traditional animation techniques, mainstream visual approach"
