style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Studio Ghibli Fantasy | Фэнтези Studio Ghibli,"стиль аниме Studio Ghibli, режиссура Хаяо Миядзаки, фоновые рисунки акварелью, мягкая пастельная цветовая палитра, детализированные природные окружения, сцены полета, эстетика европейской сельской местности, магический реализм","3D CGI рендеринг, западная мультяшная анимация, мультяшная комедия, современные цифровые эффекты, темные взрослые темы, техника ограниченной анимации"
Madhouse Psychological | Психологический Madhouse,"психологический стиль аниме студии Madhouse, режиссура Сатоши Кон, эстетика Perfect Blue, сюрреалистичные сонные последовательности, визуальные эффекты искажения реальности, детализированные психологические исследования персонажей, сложная нарративная структура","анимация в стиле Disney, мультяшная комедия, яркие радостные цвета, простые дизайны персонажей, традиционные фоны, анимация резиновых шлангов"
Toei Animation Classic | Классический Toei,"классический стиль аниме студии Toei, эстетика аниме 1970-х годов, анимация на целлулоиде, влияние ранних эпизодов Dragon Ball Z, простые дизайны персонажей, техника ограниченной анимации, яркие цветовые блоки","современный CGI рендеринг, западная мультяшная анимация, детализированные фоны, фотореалистичные текстуры, сложные дизайны персонажей, 3D эффекты"
Ufotable UHD Cinematic | Ufotable кинематографический,"кинематографический стиль студии Ufotable в UHD, качество анимации Demon Slayer, детализированные частицы, плавные сцены мечевых боев, яркая цветокоррекция, драматические световые контрасты, качество театрального фильма","ограниченная анимация, западная мультяшная анимация, только ручная 2D анимация, традиционная покраска целлулоидов, плоские цвета, простые фоны"
Kyoto Animation Slice of Life | Киото повседневность,"стиль повседневной жизни студии Kyoto Animation, дизайн персонажей K-On!, детализированные школьные окружения, выразительные эмоции персонажей, мягкая цветовая палитра, мягкий комедийный тайминг, эмоциональное повествование","темные взрослые темы, западная мультяшная анимация, сценки экшен, 3D рендеринг, сложные фоны, драматическое освещение"
MAPPA Dark Fantasy | MAPPA темное фэнтези,"стиль темного фэнтези студии MAPPA, эстетика Chainsaw Man, мрачные городские окружения, детализированные эффекты крови, преувеличенные выражения персонажей, современные визуальные техники аниме, взрослые темы","яркие радостные цвета, западная мультяшная анимация, эстетика принцесс Disney, ручная 2D анимация, традиционные фоны, семейные темы"
A-1 Pictures Isekai | A-1 Pictures исекай,"стиль исекай студии A-1 Pictures, дизайн персонажей Sword Art Online, детализированные виртуальные окружения, современная эстетика персонажей, яркие сценки экшен, элементы цифрового интерфейса, современное качество аниме","классический стиль аниме 1980-х годов, западная мультяшная анимация, ограниченная анимация, традиционные фоны, ручная покраска целлулоидов, пропорции резиновых шлангов"
Bones Mecha | Bones меха,"стиль меха студии Bones, эстетика Fullmetal Alchemist Brotherhood, детализированные механические дизайны, плавные сценки экшен, реалистичные пропорции персонажей, техники кинематографического освещения, драматические композиции","стиль мультяшной комедии, западная мультяшная анимация, простые дизайны персонажей, яркие радостные цвета, традиционные фоны, ограниченная анимация"
Trigger Experimental | Trigger экспериментальный,"экспериментальный стиль студии Trigger, эстетика Kill la Kill, преувеличенные пропорции персонажей, яркие цветовые блоки, сюрреалистичные визуальные эффекты, динамичные ракурсы камеры, авангардные анимационные техники","традиционный стиль аниме, западная мультяшная анимация, качество анимации Disney, только ручная 2D анимация, классические дизайны персонажей, консервативный визуальный подход"
Shaft Surreal | Shaft сюрреализм,"сюрреалистичный стиль студии Shaft, эстетика серии Monogatari, режиссура Акиюки Синбо, необычные ракурсы камеры, текстовые наложения, минималистичные фоны, психологическое визуальное повествование, экспериментальная композиция","конвенциональный стиль аниме, западная мультяшная анимация, реалистичные пропорции, детализированные фоны, традиционные анимационные техники, мейнстримный визуальный подход"
Wit Studio Historical | Wit Studio исторический,"исторический стиль студии Wit Studio, эстетика ранних сезонов Attack on Titan, детализированная европейская архитектура, мрачные сцены войны, реалистичные пропорции человека, драматическое освещение, кинематографический масштаб","яркие радостные цвета, западная мультяшная анимация, мультяшная комедия, современные цифровые эффекты, простые дизайны персонажей, традиционные японские настройки"
CloverWorks Modern Romance | CloverWorks современный романс,"современный романтический стиль студии CloverWorks, дизайн персонажей Horimiya, детализированные школьные окружения, выразительные эмоции персонажей, мягкие световые эффекты, современная эстетика аниме, эмоциональное повествование","темные взрослые темы, западная мультяшная анимация, сценки экшен, 3D рендеринг, сложные фоны, драматические световые эффекты"
J.C.Staff Magical Girl | J.C.Staff магическая девочка,"стиль магической девочки студии J.C.Staff, эстетика A Certain Scientific Railgun, детализированные городские окружения, динамичные сценки экшен, современные дизайны персонажей, яркие энергетические эффекты, современное качество аниме","классический стиль аниме 1980-х годов, западная мультяшная анимация, ограниченная анимация, традиционные фоны, ручная покраска целлулоидов, темные взрослые темы"
Pierrot Long-Running | Pierrot долгоживущий,"стиль долгоживущего аниме студии Pierrot, эстетика Naruto, детализированные ниндзя техники, яркие эффекты чакры, выразительные дизайны персонажей, традиционные японские окружения, сериализованное повествование","современный CGI рендеринг, западная мультяшная анимация, 3D эффекты, фотореалистичные текстуры, современная эстетика аниме, экспериментальные анимационные техники"
Sunrise Mecha Classic | Sunrise меха классика,"классический стиль меха студии Sunrise, эстетика серии Gundam, детализированные механические дизайны, реалистичные сцены войны, фокус на человеческой драме, качество визуального аниме 1980-х годов, традиционные анимационные техники","современный 3D рендеринг, западная мультяшная анимация, мультяшная комедия, яркие радостные цвета, простые дизайны персонажей, современная эстетика аниме"
Gainax Experimental | Gainax экспериментальный,"экспериментальный стиль студии Gainax, эстетика Neon Genesis Evangelion, психологические темы, сюрреалистичные визуальные последовательности, детализированные дизайны меха, драматические световые контрасты, сложные исследования персонажей","традиционный стиль аниме, западная мультяшная анимация, яркие радостные цвета, простые дизайны персонажей, анимация сфокусированная на комедии, мейнстримный визуальный подход"
CoMix Wave Films Makoto Shinkai | Makoto Shinkai CoMix Wave,"стиль Makoto Shinkai студии CoMix Wave Films, эстетика Your Name, фотореалистичные фоны, детализированные погодные эффекты, эмоциональное повествование, яркая цветокоррекция, кинематографическая композиция","только ручная 2D анимация, западная мультяшная анимация, техника ограниченной анимации, традиционные фоны, плоские цвета, простые дизайны персонажей"
White Fox Visual Novel | White Fox визуальная новелла,"стиль адаптации визуальных новелл студии White Fox, эстетика Steins;Gate, детализированные лабораторные окружения, визуальные эффекты путешествия во времени, эмоциональные выражения персонажей, сложная нарративная структура","стиль мультяшной комедии, западная мультяшная анимация, яркие радостные цвета, простые дизайны персонажей, традиционные фоны, сцены сфокусированные на экшене"
David Production Action | David Production экшен,"стиль экшен студии David Production, эстетика JoJo's Bizarre Adventure, уникальные ар-деко влияния, преувеличенные позы персонажей, яркие цветовые блоки, драматические переходы панелей, стилизованные сценки экшен","традиционный стиль аниме, западная мультяшная анимация, реалистичные пропорции, детализированные фоны, качество анимации Disney, конвенциональный визуальный подход"
Tatsunoko Production Classic | Tatsunoko Productions классика,"классический стиль студии Tatsunoko Production, эстетика Gatchaman, качество визуального аниме 1970-х годов, детализированные дизайны меха, анимация на целлулоиде, яркая цветовая палитра, традиционные японские анимационные техники","современный CGI рендеринг, западная мультяшная анимация, 3D эффекты, фотореалистичные текстуры, современная эстетика аниме, экспериментальные анимационные техники"
Bones Supernatural | Bones сверхъестественное,"стиль сверхъестественного студии Bones, эстетика My Hero Academia, детализированные эффекты сверхспособностей, яркие ауры энергии, выразительные дизайны персонажей, динамичные сценки экшен, современное качество визуального аниме","классический стиль аниме 1980-х годов, западная мультяшная анимация, ограниченная анимация, традиционные фоны, ручная покраска целлулоидов, простые дизайны персонажей"
MAPPA Sports | MAPPA спорт,"стиль спортивного аниме студии MAPPA, эстетика Haikyu!!, детализированные техники волейбола, выразительные эмоции персонажей, динамичные сценки экшен, реалистичные пропорции человека, кинематографическая спортивная фотография","темные взрослые темы, западная мультяшная анимация, фэнтези элементы, 3D рендеринг, сложные фоны, драматические световые эффекты"
Kyoto Animation Romance | Киото романтика,"романтический стиль студии Kyoto Animation, эстетика Clannad, детализированные школьные окружения, эмоциональные выражения персонажей, мягкая цветовая палитра, мягкое повествование, красивое фоновое искусство","сцены сфокусированные на экшене, западная мультяшная анимация, темные взрослые темы, 3D рендеринг, сложные фоны, драматические световые эффекты"
Ufotable Fantasy | Ufotable фэнтези,"стиль фэнтези студии Ufotable, эстетика серии Fate, детализированные магические эффекты, яркие анимации частиц, драматические световые контрасты, кинематографическая композиция, театральное качество","техника ограниченной анимации, западная мультяшная анимация, только ручная 2D анимация, традиционные фоны, плоские цвета, простые дизайны персонажей"
Madhouse Horror | Madhouse хоррор,"стиль хоррора студии Madhouse, эстетика Parasyte, детализированные эффекты телесного хоррора, психологическое напряжение, реалистичные пропорции человека, темное атмосферное освещение, взрослые темы","яркие радостные цвета, западная мультяшная анимация, мультяшная комедия, семейные темы, традиционные фоны, простые дизайны персонажей"
Toei Animation Magical Girl | Toei магическая девочка,"стиль магической девочки студии Toei Animation, эстетика Sailor Moon, качество визуального аниме 1990-х годов, детализированные последовательности трансформации, яркая цветовая палитра, анимация на целлулоиде, традиционные дизайны персонажей","современный CGI рендеринг, западная мультяшная анимация, темные взрослые темы, 3D эффекты, современная эстетика аниме, экспериментальные анимационные техники"
A-1 Pictures Sci-Fi | A-1 Pictures научная фантастика,"стиль научной фантастики студии A-1 Pictures, эстетика Sword Art Online, детализированные виртуальные окружения, современные дизайны персонажей, яркие энергетические эффекты, элементы цифрового интерфейса, современное качество аниме","классический стиль аниме 1980-х годов, западная мультяшная анимация, ограниченная анимация, традиционные фоны, ручная покраска целлулоидов, пропорции резиновых шлангов"
Wit Studio Dark Fantasy | Wit Studio темное фэнтези,"стиль темного фэнтези студии Wit Studio, эстетика Attack on Titan, детализированные дизайны титанов, мрачные городские окружения, реалистичные пропорции человека, драматическое освещение, кинематографический масштаб","яркие радостные цвета, западная мультяшная анимация, мультяшная комедия, современные цифровые эффекты, простые дизайны персонажей, традиционные японские настройки"
CloverWorks Comedy | CloverWorks комедия,"комедийный стиль студии CloverWorks, эстетика Kaguya-sama: Love is War, детализированные школьные окружения, выразительные эмоции персонажей, комедийный тайминг, современное качество визуального аниме, эмоциональное повествование","темные взрослые темы, западная мультяшная анимация, сценки экшен, 3D рендеринг, сложные фоны, драматические световые эффекты"
J.C.Staff Action | J.C.Staff экшен,"стиль экшен студии J.C.Staff, эстетика A Certain Magical Index, детализированные магические эффекты, динамичные сценки экшен, современные дизайны персонажей, яркие энергетические эффекты, современное качество аниме","классический стиль аниме 1980-х годов, западная мультяшная анимация, ограниченная анимация, традиционные фоны, ручная покраска целлулоидов, фокус на романтике"
Pierrot Adventure | Pierrot приключение,"стиль приключений студии Pierrot, эстетика One Piece, детализированное построение мира, яркая цветовая палитра, выразительные дизайны персонажей, сериализованное повествование, традиционные японские анимационные техники","современный CGI рендеринг, западная мультяшная анимация, 3D эффекты, фотореалистичные текстуры, современная эстетика аниме, экспериментальные анимационные техники"
Sunrise Sci-Fi | Sunrise научная фантастика,"стиль научной фантастики студии Sunrise, эстетика серии Gundam, детализированные космические окружения, реалистичные дизайны меха, фокус на человеческой драме, качество визуального аниме 1980-х годов, традиционные анимационные техники","современный 3D рендеринг, западная мультяшная анимация, мультяшная комедия, яркие радостные цвета, простые дизайны персонажей, современная эстетика аниме"
Gainax Mecha | Gainax меха,"стиль меха студии Gainax, эстетика Neon Genesis Evangelion, детализированные дизайны ангелов, психологические темы, драматические световые контрасты, сложные исследования персонажей, качество визуального аниме 1990-х годов","традиционный стиль аниме, западная мультяшная анимация, яркие радостные цвета, простые дизайны персонажей, анимация сфокусированная на комедии, мейнстримный визуальный подход"
CoMix Wave Films Romance | CoMix Wave романтика,"романтический стиль студии CoMix Wave Films, эстетика Your Name, фотореалистичные фоны, детализированные погодные эффекты, эмоциональное повествование, яркая цветокоррекция, кинематографическая композиция","только ручная 2D анимация, западная мультяшная анимация, техника ограниченной анимации, традиционные фоны, плоские цвета, сцены сфокусированные на экшене"
White Fox Mystery | White Fox мистика,"стиль мистики студии White Fox, эстетика Steins;Gate, детализированные лабораторные окружения, визуальные эффекты путешествия во времени, эмоциональные выражения персонажей, сложная нарративная структура","стиль мультяшной комедии, западная мультяшная анимация, яркие радостные цвета, простые дизайны персонажей, традиционные фоны, фокус на романтике"
David Production Supernatural | David Production сверхъестественное,"стиль сверхъестественного студии David Production, эстетика JoJo's Bizarre Adventure, уникальные ар-деко влияния, преувеличенные позы персонажей, яркие цветовые блоки, драматические переходы панелей, стилизованные сверхъестественные эффекты","традиционный стиль аниме, западная мультяшная анимация, реалистичные пропорции, детализированные фоны, качество анимации Disney, конвенциональный визуальный подход"
Tatsunoko Production Action | Tatsunoko Productions экшен,"стиль экшен студии Tatsunoko Production, эстетика Gatchaman, качество визуального аниме 1970-х годов, детализированные сценки экшен, анимация на целлулоиде, яркая цветовая палитра, традиционные японские анимационные техники","современный CGI рендеринг, западная мультяшная анимация, 3D эффекты, фотореалистичные текстуры, современная эстетика аниме, экспериментальные анимационные техники"
Bones Romantic Comedy | Bones романтическая комедия,"романтическо-комедийный стиль студии Bones, эстетика Ouran High School Host Club, детализированные школьные окружения, выразительные эмоции персонажей, мягкая цветовая палитра, мягкий комедийный тайминг, эмоциональное повествование","темные взрослые темы, западная мультяшная анимация, сценки экшен, 3D рендеринг, сложные фоны, драматические световые эффекты"
MAPPA Thriller | MAPPA триллер,"стиль триллера студии MAPPA, эстетика Jujutsu Kaisen, детализированные эффекты проклятий, темное атмосферное освещение, реалистичные пропорции человека, психологическое напряжение, взрослые темы","яркие радостные цвета, западная мультяшная анимация, мультяшная комедия, семейные темы, традиционные фоны, простые дизайны персонажей"
Kyoto Animation Drama | Киото драма,"драматический стиль студии Kyoto Animation, эстетика A Silent Voice, детализированные школьные окружения, эмоциональные выражения персонажей, мягкая цветовая палитра, мягкое повествование, красивое фоновое искусство","сцены сфокусированные на экшене, западная мультяшная анимация, темные взрослые темы, 3D рендеринг, сложные фоны, драматические световые эффекты"
Ufotable Action | Ufotable экшен,"стиль экшен студии Ufotable, эстетика Demon Slayer, детализированные сцены мечевых боев, яркие частицы, драматические световые контрасты, кинематографическая композиция, театральное качество","техника ограниченной анимации, западная мультяшная анимация, только ручная 2D анимация, традиционные фоны, плоские цвета, простые дизайны персонажей"
Madhouse Drama | Madhouse драма,"драматический стиль студии Madhouse, эстетика Death Note, детализированные психологические исследования персонажей, темное атмосферное освещение, реалистичные пропорции человека, сложная нарративная структура, взрослые темы","яркие радостные цвета, западная мультяшная анимация, мультяшная комедия, семейные темы, традиционные фоны, простые дизайны персонажей"
Toei Animation Adventure | Toei приключение,"стиль приключений студии Toei Animation, эстетика Dragon Ball Z, качество визуального аниме 1990-х годов, детализированные боевые искусства, яркие энергетические эффекты, анимация на целлулоиде, сериализованное повествование","современный CGI рендеринг, западная мультяшная анимация, 3D эффекты, фотореалистичные текстуры, современная эстетика аниме, экспериментальные анимационные техники"
A-1 Pictures Fantasy | A-1 Pictures фэнтези,"стиль фэнтези студии A-1 Pictures, эстетика Sword Art Online, детализированные виртуальные окружения, современные дизайны персонажей, яркие магические эффекты, элементы цифрового интерфейса, современное качество аниме","классический стиль аниме 1980-х годов, западная мультяшная анимация, ограниченная анимация, традиционные фоны, ручная покраска целлулоидов, темные взрослые темы"
Wit Studio Romance | Wit Studio романтика,"романтический стиль студии Wit Studio, эстетика отношений персонажей Attack on Titan, детализированные эмоциональные выражения, мягкие световые эффекты, драматические взаимодействия персонажей, кинематографическая композиция","сцены сфокусированные на экшене, западная мультяшная анимация, темные взрослые темы, 3D рендеринг, сложные фоны, яркие радостные цвета"
CloverWorks Sci-Fi | CloverWorks научная фантастика,"стиль научной фантастики студии CloverWorks, эстетика Re:Creators, детализированные виртуальные окружения, современные дизайны персонажей, яркие энергетические эффекты, элементы цифрового интерфейса, современное качество аниме","классический стиль аниме 1980-х годов, западная мультяшная анимация, ограниченная анимация, традиционные фоны, ручная покраска целлулоидов, фокус на романтике"
J.C.Staff Romance | J.C.Staff романтика,"романтический стиль студии J.C.Staff, эстетика Toradora!, детализированные школьные окружения, выразительные эмоции персонажей, мягкие световые эффекты, эмоциональное повествование, современное качество визуального аниме","темные взрослые темы, западная мультяшная анимация, сценки экшен, 3D рендеринг, сложные фоны, драматические световые эффекты"
Pierrot Fantasy | Pierrot фэнтези,"стиль фэнтези студии Pierrot, эстетика Naruto, детализированные ниндзя техники, яркие эффекты чакры, выразительные дизайны персонажей, традиционные японские окружения, сериализованное повествование","современный CGI рендеринг, западная мультяшная анимация, 3D эффекты, фотореалистичные текстуры, современная эстетика аниме, экспериментальные анимационные техники"
Sunrise Action | Sunrise экшен,"стиль экшен студии Sunrise, эстетика серии Gundam, детализированные битвы меха, реалистичные сценки экшен, фокус на человеческой драме, качество визуального аниме 1980-х годов, традиционные анимационные техники","современный 3D рендеринг, западная мультяшная анимация, мультяшная комедия, яркие радостные цвета, простые дизайны персонажей, современная эстетика аниме"
Gainax Sci-Fi | Gainax научная фантастика,"стиль научной фантастики студии Gainax, эстетика Neon Genesis Evangelion, детализированные научно-фантастические окружения, психологические темы, драматические световые контрасты, сложные исследования персонажей, качество визуального аниме 1990-х годов","традиционный стиль аниме, западная мультяшная анимация, яркие радостные цвета, простые дизайны персонажей, анимация сфокусированная на комедии, мейнстримный визуальный подход"
CoMix Wave Films Sci-Fi | CoMix Wave научная фантастика,"стиль научной фантастики студии CoMix Wave Films, эстетика Children Who Chase Lost Voices, фотореалистичные фоны, детализированные окружения приключений, эмоциональное повествование, яркая цветокоррекция, кинематографическая композиция","только ручная 2D анимация, западная мультяшная анимация, техника ограниченной анимации, традиционные фоны, плоские цвета, простые дизайны персонажей"
White Fox Action | White Fox экшен,"стиль экшен студии White Fox, эстетика Re:Zero, детализированные магические эффекты, динамичные сценки экшен, современные дизайны персонажей, яркие энергетические эффекты, современное качество аниме","классический стиль аниме 1980-х годов, западная мультяшная анимация, ограниченная анимация, традиционные фоны, ручная покраска целлулоидов, фокус на романтике"
David Production Mecha | David Production меха,"стиль меха студии David Production, эстетика JoJo's Bizarre Adventure, уникальные ар-деко влияния, преувеличенные позы персонажей, яркие цветовые блоки, драматические переходы панелей, стилизованные дизайны меха","традиционный стиль аниме, западная мультяшная анимация, реалистичные пропорции, детализированные фоны, качество анимации Disney, конвенциональный визуальный подход"
Tatsunoko Production Sci-Fi | Tatsunoko Productions научная фантастика,"стиль научной фантастики студии Tatsunoko Production, эстетика Gatchaman, качество визуального аниме 1970-х годов, детализированные научно-фантастические окружения, анимация на целлулоиде, яркая цветовая палитра, традиционные японские анимационные техники","современный CGI рендеринг, западная мультяшная анимация, 3D эффекты, фотореалистичные текстуры, современная эстетика аниме, экспериментальные анимационные техники"
Bones Mystery | Bones мистика,"стиль мистики студии Bones, эстетика детективных эпизодов Boku no Hero Academia, детализированный анализ улик, психологическое напряжение, реалистичные пропорции человека, драматическое освещение, сложная нарративная структура","яркие радостные цвета, западная мультяшная анимация, мультяшная комедия, семейные темы, традиционные фоны, простые дизайны персонажей"
MAPPA Horror | MAPPA хоррор,"стиль хоррора студии MAPPA, эстетика Chainsaw Man, мрачные городские окружения, детализированные эффекты крови, преувеличенные выражения персонажей, психологическое напряжение, взрослые темы","яркие радостные цвета, западная мультяшная анимация, мультяшная комедия, семейные темы, традиционные фоны, простые дизайны персонажей"
Kyoto Animation Comedy | Киото комедия,"комедийный стиль студии Kyoto Animation, эстетика K-On!, детализированные школьные окружения, выразительные эмоции персонажей, мягкая цветовая палитра, мягкий комедийный тайминг, эмоциональное повествование","темные взрослые темы, западная мультяшная анимация, сценки экшен, 3D рендеринг, сложные фоны, драматические световые эффекты"
Ufotable Drama | Ufotable драма,"драматический стиль студии Ufotable, эстетика отношений персонажей серии Fate, детализированные эмоциональные выражения, мягкие световые эффекты, драматические взаимодействия персонажей, кинематографическая композиция","сцены сфокусированные на экшене, западная мультяшная анимация, темные взрослые темы, 3D рендеринг, сложные фоны, яркие радостные цвета"
Madhouse Sci-Fi | Madhouse научная фантастика,"стиль научной фантастики студии Madhouse, эстетика Paprika, сюрреалистичные сонные последовательности, визуальные эффекты искажения реальности, детализированные психологические исследования персонажей, сложная нарративная структура","анимация в стиле Disney, западная мультяшная анимация, мультяшная комедия, яркие радостные цвета, простые дизайны персонажей, традиционные фоны"
Toei Animation Drama | Toei драма,"драматический стиль студии Toei Animation, эстетика арочных персонажей Dragon Ball Z, качество визуального аниме 1990-х годов, детализированные эмоциональные выражения, драматическое освещение, сериализованное повествование, анимация на целлулоиде","современный CGI рендеринг, западная мультяшная анимация, 3D эффекты, фотореалистичные текстуры, современная эстетика аниме, экспериментальные анимационные техники"
A-1 Pictures Drama | A-1 Pictures драма,"драматический стиль студии A-1 Pictures, эстетика развития персонажей Sword Art Online, детализированные эмоциональные выражения, мягкие световые эффекты, драматические взаимодействия персонажей, современное качество визуального аниме","сцены сфокусированные на экшене, западная мультяшная анимация, темные взрослые темы, 3D рендеринг, сложные фоны, яркие радостные цвета"
Wit Studio Sci-Fi | Wit Studio научная фантастика,"стиль научной фантастики студии Wit Studio, эстетика построения мира Attack on Titan, детальная наука титанов, мрачные окружения, реалистичные пропорции человека, драматическое освещение, кинематографический масштаб","яркие радостные цвета, западная мультяшная анимация, мультяшная комедия, современные цифровые эффекты, простые дизайны персонажей, традиционные японские настройки"
CloverWorks Drama | CloverWorks драма,"драматический стиль студии CloverWorks, эстетика развития персонажей Horimiya, детализированные эмоциональные выражения, мягкие световые эффекты, драматические взаимодействия персонажей, современное качество визуального аниме","сцены сфокусированные на экшене, западная мультяшная анимация, темные взрослые темы, 3D рендеринг, сложные фоны, яркие радостные цвета"
J.C.Staff Drama | J.C.Staff драма,"драматический стиль студии J.C.Staff, эстетика арочных персонажей A Certain Scientific Railgun, детализированные эмоциональные выражения, мягкие световые эффекты, драматические взаимодействия персонажей, современное качество визуального аниме","сцены сфокусированные на экшене, западная мультяшная анимация, темные взрослые темы, 3D рендеринг, сложные фоны, яркие радостные цвета"
Pierrot Drama | Pierrot драма,"драматический стиль студии Pierrot, эстетика развития персонажей Naruto, детализированные эмоциональные выражения, драматическое освещение, сериализованное повествование, традиционные японские анимационные техники","современный CGI рендеринг, западная мультяшная анимация, 3D эффекты, фотореалистичные текстуры, современная эстетика аниме, экспериментальные анимационные техники"
