style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Classic Disney 2D | Классический Disney 2D,"classic Disney animation style, hand-drawn 2D animation, smooth character movements, vibrant color palette, expressive facial expressions, Mickey Mouse era aesthetic, ink and paint technique","anime style, 3D rendering, photorealistic textures, modern CGI, sketchy lines, dark mature themes"
Warner Bros Golden Age | Золотой век Warner Bros,"Warner Bros Looney Tunes style, Tex Avery animation principles, exaggerated squash and stretch, rubber hose animation influence, Bugs Bunny character design, vibrant backgrounds, comedic timing","anime aesthetics, Disney princess style, 3D models, realistic proportions, dark serious themes, modern digital rendering"
Pixar 3D Render | Pixar 3D рендеринг,"Pixar animation studio style, 3D computer animation, subsurface scattering skin, detailed textures, expressive character design, Finding Nemo underwater lighting, cinematic composition","anime style, hand-drawn 2D, flat colors, minimal detail, low polygon models, traditional cel animation"
DreamWorks Modern | Современный DreamWorks,"DreamWorks Animation style, Shrek character design, exaggerated proportions, detailed environment art, expressive facial animation, modern CGI pipeline, comedic character expressions","anime aesthetics, Disney classic style, hand-drawn animation, minimal detail, dark gothic themes, traditional watercolor backgrounds"
Hanna-Barbera Limited Animation | Hanna-Barbera ограниченная анимация,"Hanna-Barbera cartoon style, limited animation technique, Yogi Bear character design, simplified backgrounds, cost-cutting animation principles, Saturday morning cartoon aesthetic, flat color palette","Pixar quality, anime style, detailed animation, 3D rendering, complex backgrounds, cinematic lighting"
Fleischer Studios Rubber Hose | Fleischer резиновые шланги,"Fleischer Studios style, rubber hose animation technique, Betty Boop character design, rotoscoping influence, 1930s cartoon aesthetic, surreal dream sequences, jazz age influences","modern CGI, anime aesthetics, Disney princess style, realistic proportions, digital rendering, contemporary themes"
UPA Modern Design | UPA современный дизайн,"UPA animation studio style, modern art influences, Gerald McBoing Boing design, minimalist character design, stylized backgrounds, limited animation principles, graphic art approach","detailed animation, anime style, Disney classic, 3D rendering, photorealistic textures, traditional backgrounds"
MGM Tom and Jerry | MGM Том и Джерри,"MGM cartoon style, Tom and Jerry slapstick comedy, detailed animation sequences, complex character movements, expressive facial expressions, 1940s animation quality, William Hanna and Joseph Barbera direction","limited animation, anime aesthetics, Disney princesses, modern CGI, flat colors, minimal detail"
Walt Disney Princess Era | Эра принцесс Disney,"Walt Disney princess animation style, Sleeping Beauty detailed backgrounds, hand-painted cels, romantic character designs, elegant movement, classical music integration, fairy tale aesthetic","anime style, cartoon comedy, modern CGI, dark mature themes, limited animation, rubber hose proportions"
Nickelodeon Cartoon Network | Nickelodeon Cartoon Network,"Nickelodeon cartoon style, SpongeBob SquarePants character design, bold outlines, vibrant colors, exaggerated expressions, comedic timing, television animation pipeline, modern cartoon aesthetic","anime aesthetics, Disney classic, hand-drawn film quality, realistic proportions, dark serious themes, traditional animation"
Cartoon Network Modern | Cartoon Network современный,"Cartoon Network modern style, Adventure Time character design, minimalist art direction, bold color blocking, surreal environments, experimental animation techniques, indie cartoon influence","anime style, Disney princess, traditional cel animation, photorealistic textures, 3D rendering, classical music score"
Aardman Stop Motion | Aardman стоп-моушн,"Aardman Animations stop-motion style, Wallace and Gromit character design, claymation technique, detailed miniature sets, British humor influence, textured surfaces, frame-by-frame animation","3D CGI, anime aesthetics, hand-drawn 2D, smooth animation, digital rendering, modern cartoon comedy"
Laika Dark Fairy Tale | Laika темная сказка,"Laika Studios stop-motion style, Coraline character design, dark fairy tale aesthetic, detailed puppet animation, gothic environments, eerie atmosphere, psychological themes","bright cheerful colors, anime style, Disney princess aesthetic, rubber hose animation, minimalist design, comedic timing"
Blue Sky Studios | Blue Sky Studios,"Blue Sky Studios animation style, Ice Age character design, detailed fur rendering, 3D computer animation, expressive character faces, family-friendly comedy, cinematic lighting techniques","anime aesthetics, hand-drawn 2D, stop-motion texture, dark gothic themes, traditional cel animation, limited animation"
Sony Animation Modern | Sony Animation современный,"Sony Pictures Animation style, Spider-Man: Into the Spider-Verse technique, comic book panel transitions, halftone dot patterns, bold outlines, vibrant color blocking, experimental animation","traditional animation, anime style, Disney classic, 3D photorealistic rendering, hand-drawn sketch aesthetic, classical music"
Illumination Entertainment | Illumination Entertainment,"Illumination Entertainment style, Minions character design, simple geometric shapes, bright color palette, comedic character expressions, family-friendly animation, global appeal aesthetic","detailed animation, anime aesthetics, dark mature themes, traditional hand-drawn, complex backgrounds, serious dramatic tone"
CalArts Modern | CalArts современный,"CalArts graduate animation style, experimental character design, minimalist backgrounds, bold color choices, indie cartoon aesthetic, student film quality, artistic expression","mainstream animation, anime style, Disney princess aesthetic, 3D rendering, traditional techniques, commercial appeal"
Newgrounds Flash Era | Эра Flash Newgrounds,"Newgrounds Flash animation style, Homestar Runner character design, limited animation technique, internet meme culture influence, crude humor aesthetic, web cartoon quality, simple vector graphics","professional studio animation, anime aesthetics, Disney quality, 3D rendering, detailed backgrounds, cinematic composition"
Adult Swim Late Night | Adult Swim поздней ночью,"Adult Swim cartoon style, Rick and Morty character design, adult humor themes, surreal animation sequences, limited animation technique, late-night television aesthetic, dark comedy","children's animation, anime style, Disney princesses, bright cheerful colors, traditional animation, family-friendly themes"
Disney Renaissance | Дисней Возрождение,"Disney Renaissance era style, The Lion King character design, detailed hand-drawn animation, Broadway musical influence, emotional storytelling, realistic animal movements, cinematic scope","limited animation, anime aesthetics, modern CGI, rubber hose proportions, flat colors, minimalist backgrounds"
Warner Bros Modern | Warner Bros современный,"Warner Bros modern animation style, Space Jam character design, hybrid 2D/3D techniques, celebrity cameos, sports comedy aesthetic, theatrical release quality, detailed backgrounds","classic Looney Tunes, anime style, Disney princess aesthetic, adult themes, minimalist design, traditional hand-drawn only"
Pixar Emotional Storytelling | Pixar эмоциональный нарратив,"Pixar emotional storytelling style, Up opening sequence aesthetic, detailed character expressions, tear-jerking moments, family themes, cinematic lighting, 3D animation mastery","anime style, comedy-only animation, dark mature themes, hand-drawn 2D, limited animation, traditional backgrounds"
DreamWorks Musical Comedy | DreamWorks музыкальная комедия,"DreamWorks musical comedy style, Madagascar character design, celebrity voice acting, pop music soundtrack, comedic timing, expressive character animations, vibrant environments","anime aesthetics, Disney princess musicals, dark serious themes, traditional hand-drawn animation, minimalist design, dramatic tragedy"
Blue Sky Character Comedy | Blue Sky комедия персонажей,"Blue Sky character comedy style, Robots character design, mechanical world building, slapstick humor, detailed machine environments, family-friendly comedy, expressive robot faces","anime style, dark mature themes, Disney princess aesthetic, hand-drawn 2D, minimalist backgrounds, serious dramatic tone"
Aardman British Humor | Aardman британский юмор,"Aardman British humor style, Shaun the Sheep character design, dry wit aesthetic, claymation texture, pastoral backgrounds, gentle comedy, stop-motion charm, British cultural references","anime aesthetics, American cartoon comedy, 3D CGI, dark mature themes, fast-paced action, superhero themes"
Laika Gothic | Laika готика,"Laika gothic animation style, ParaNorman character design, supernatural themes, detailed stop-motion sets, eerie atmosphere, psychological horror elements, family-friendly scares","bright cheerful Disney style, anime aesthetics, rubber hose animation, comedic cartoon characters, minimalist backgrounds, traditional cel animation"
Sony Spider-Verse | Sony Спайдер-Вселенная,"Sony Spider-Verse animation style, Into the Spider-Verse visual techniques, comic book panel transitions, halftone patterns, bold outlines, vibrant color blocking, multiple art styles combined","traditional animation, anime style, Disney princess aesthetic, 3D photorealistic rendering, hand-drawn sketch only, classical orchestral score"
Illumination Minions | Illumination Миньоны,"Illumination Minions style, yellow capsule-shaped characters, simple geometric design, gibberish language aesthetic, slapstick comedy, family entertainment, global franchise appeal","detailed character design, anime aesthetics, dark mature themes, traditional animation techniques, serious dramatic tone, complex backgrounds"
Disney Pixar Hybrid | Disney Pixar гибрид,"Disney-Pixar hybrid animation style, Brave character design, detailed Scottish landscapes, traditional storytelling with modern CGI, emotional depth, family themes, cinematic quality","anime aesthetics, rubber hose animation, limited animation technique, dark horror themes, minimalist design, adult-oriented content"
Warner Bros Looney Tunes Revival | Looney Tunes возрождение,"Warner Bros Looney Tunes revival style, Space Jam: A New Legacy aesthetic, modern CGI meets classic characters, basketball comedy, celebrity cameos, nostalgic references, theatrical release quality","original 1940s animation, anime style, Disney princess aesthetic, dark mature themes, minimalist design, traditional hand-drawn only"
Nickelodeon SpongeBob | Nickelodeon Спанч Боб,"Nickelodeon SpongeBob SquarePants style, underwater comedy aesthetic, nautical nonsense themes, exaggerated character expressions, bold outlines, vibrant colors, absurdist humor","anime aesthetics, Disney princess style, realistic proportions, dark serious themes, traditional animation techniques, dramatic storytelling"
Cartoon Network Adventure Time | Cartoon Network Время приключений,"Cartoon Network Adventure Time style, surreal fantasy aesthetic, minimalist character design, bold color blocking, dreamlike environments, experimental storytelling, indie cartoon influence","anime style, Disney classic animation, photorealistic textures, 3D rendering, traditional backgrounds, mainstream commercial appeal"
Disney Channel Modern | Disney Channel современный,"Disney Channel modern cartoon style, Phineas and Ferb character design, geometric shapes, bright color palette, comedic timing, family-friendly humor, television animation pipeline","anime aesthetics, classic Disney hand-drawn, dark mature themes, theatrical release quality, complex backgrounds, dramatic storytelling"
