style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Canon EOS R5 Professional Portrait | Портрет Canon EOS R5,"Canon EOS R5, Canon RF 85mm f/1.2L USM lens, f/1.4 aperture, 1/125s shutter speed, ISO 100, soft window light with reflector fill, sharp eyes focus, creamy bokeh background, professional color grading","blurry, cartoon, anime, drawing, painting, noise, grain, overexposed, underexposed, poor composition"
Sony A7IV Wedding Documentary | Свадебный документ Sony A7IV,"Sony A7IV, Sony FE 35mm f/1.4 GM lens, f/2.0 aperture, 1/60s shutter speed, ISO 800, natural ceremony lighting with off-camera flash fill, candid moments, documentary style, film grain texture","staged photo, cartoon characters, anime style, illustration, motion blur, bad lighting, grain when unwanted"
Nikon D850 Landscape Masterpiece | Пейзаж Nikon D850,"Nikon D850, Nikon 14-24mm f/2.8G ED lens at 16mm, f/11 aperture, 2-second shutter speed, ISO 64, golden hour sunlight, graduated ND filter, hyperfocal distance focus, epic mountain vista, vibrant colors","blurry, cartoon landscape, anime style, painting, distortion, chromatic aberration, poor horizon line"
Fujifilm X-T4 Street Photography | Уличная Fujifilm X-T4,"Fujifilm X-T4, Fujinon XF 23mm f/1.4 R lens, f/2.8 aperture, 1/250s shutter speed, ISO 400, available light only, Leica M-style candid shooting, black and white conversion with red filter effect","posed subjects, cartoon people, anime characters, illustration, flash photography, motion blur"
Leica M11 Documentary | Документальный Leica M11,"Leica M11, Summilux-M 35mm f/1.4 ASPH lens, f/2.0 aperture, 1/125s shutter speed, ISO 400, available light documentary style, natural shadows, Leica color science, grain structure","digital look, cartoon characters, anime style, illustration, artificial lighting, overprocessed"
Hasselblad X2D Medium Format | Средний формат Hasselblad X2D,"Hasselblad X2D 100C, XCD 45mm f/4 lens, f/5.6 aperture, 1/60s shutter speed, ISO 100, studio strobe lighting with softboxes, medium format detail, skin texture perfection, commercial quality","blurry, phone camera look, cartoon characters, anime style, illustration, noise, grain"
Canon EOS R3 Sports Action | Спортивный Canon EOS R3,"Canon EOS R3, Canon RF 70-200mm f/2.8L IS USM at 200mm, f/2.8 aperture, 1/2000s shutter speed, ISO 1600, stadium lighting, AI servo autofocus tracking, frozen motion, professional sports photography","motion blur, cartoon athletes, anime style, illustration, blurry subject, poor timing"
Sony A7SIII Low Light | Низкий свет Sony A7SIII,"Sony A7SIII, Sony FE 24mm f/1.4 GM lens, f/1.4 aperture, 30-second shutter speed, ISO 3200, astrophotography setup, tracked night sky, Milky Way core visible, star sharpness","light pollution, cartoon stars, anime style, illustration, noise reduction overdone, blurry stars"
Phase One XT Technical | Технический Phase One XT,"Phase One XT IQ4 150MP, Schneider Kreuznach 32mm f/4 lens, f/8 aperture, 1/30s shutter speed, ISO 50, architectural photography, perspective control, tilt-shift effect, building facade detail","distortion, cartoon buildings, anime style, illustration, converging lines, poor perspective"
Pentax 645Z Studio Fashion | Студийный модный Pentax 645Z,"Pentax 645Z, Pentax FA 75mm f/2.8 lens, f/4.0 aperture, 1/125s shutter speed, ISO 100, Profoto strobe lighting with beauty dish and rim lights, fashion model posing, high fashion editorial","blurry, cartoon model, anime style, illustration, poor lighting setup, amateur composition"
Canon EOS 5D Mark IV Real Estate | Недвижимость Canon 5D Mark IV,"Canon EOS 5D Mark IV, Canon TS-E 24mm f/3.5L II tilt-shift lens, f/8.0 aperture, 1/30s shutter speed, ISO 200, interior HDR bracketing, 3-point lighting setup, architectural interior photography","distorted perspective, cartoon rooms, anime style, illustration, converging verticals, poor exposure blending"
Sony A9II Wildlife | Дикая природа Sony A9II,"Sony A9II, Sony FE 200-600mm f/5.6-6.3 G OSS at 600mm, f/6.3 aperture, 1/1000s shutter speed, ISO 800, natural habitat lighting, animal eye autofocus, wildlife conservation photography","cage visible, cartoon animals, anime style, illustration, motion blur, poor framing"
Nikon Z9 Action Photography | Экшен Nikon Z9,"Nikon Z9, Nikon Z 400mm f/2.8 TC VR S lens with 1.4x teleconverter, f/4.0 aperture, 1/4000s shutter speed, ISO 3200, freezing fast motion, panning technique, motorsport photography","motion blur, cartoon vehicles, anime style, illustration, blurry subject, poor timing"
Fujifilm GFX 100S Product | Товар Fujifilm GFX 100S,"Fujifilm GFX 100S, GF 110mm f/2 R LM WR lens, f/5.6 aperture, 1/60s shutter speed, ISO 100, studio product photography with light tent, reflective surface control, commercial e-commerce quality","blurry, cartoon product, anime style, illustration, fingerprints visible, poor lighting"
Leica SL2-S Automotive | Автомобиль Leica SL2-S,"Leica SL2-S, APO-Summicron-SL 75mm f/2 ASPH lens, f/8.0 aperture, 1/125s shutter speed, ISO 100, golden hour car photography, polarizing filter, reflective surface perfection, automotive magazine quality","dirty car, cartoon vehicle, anime style, illustration, poor reflections, amateur lighting"
Canon EOS R6 Macro | Макро Canon EOS R6,"Canon EOS R6, Canon RF 100mm f/2.8L Macro IS USM lens, f/5.6 aperture, 1/60s shutter speed, ISO 200, dedicated macro ring flash lighting, 1:1 magnification ratio, insect detail photography","blurry, cartoon insects, anime style, illustration, out of focus, poor lighting"
Sony A7III Food Photography | Еда Sony A7III,"Sony A7III, Sony FE 90mm f/2.8 Macro G OSS lens, f/4.0 aperture, 1/125s shutter speed, ISO 200, natural window light with diffusion panel, food styling, restaurant menu photography","blurry, cartoon food, anime style, illustration, poor styling, unappetizing appearance"
Nikon D6 Sports Journalism | Спортивный журнализм Nikon D6,"Nikon D6, Nikon AF-S NIKKOR 300mm f/2.8E FL ED VR lens, f/4.0 aperture, 1/2000s shutter speed, ISO 1600, press box lighting, photojournalism style, action sequence","motion blur, cartoon athletes, anime style, illustration, crowded frame, poor timing"
Hasselblad 907X Astrophotography | Астро Hasselblad 907X,"Hasselblad 907X, XCD 21mm f/4 lens, f/4.0 aperture, 60-second shutter speed, ISO 3200, equatorial mount tracking, deep sky astrophotography, nebula detail","light pollution, cartoon stars, anime style, illustration, star trails, poor tracking"
Pentax K-1 II Landscape | Пейзаж Pentax K-1 II,"Pentax K-1 II, HD Pentax-D FA 15-30mm f/2.8 ED SDM WR at 15mm, f/11 aperture, 4-second shutter speed, ISO 100, Lee Filters 6-stop ND, coastal seascape photography","blurry water, cartoon ocean, anime style, illustration, poor horizon alignment, chromatic aberration"
Canon EOS RP Family Portrait | Семейный портрет Canon EOS RP,"Canon EOS RP, Canon RF 50mm f/1.2L USM lens, f/2.8 aperture, 1/125s shutter speed, ISO 400, outdoor shade with fill flash, natural family interaction, lifestyle photography","stiff posing, cartoon family, anime style, illustration, harsh shadows, poor expressions"
Sony A7C Urban Exploration | Городской Sony A7C,"Sony A7C, Sony FE 28mm f/2 lens, f/5.6 aperture, 1/125s shutter speed, ISO 800, available light urban decay photography, documentary style, grunge aesthetic","posed shots, cartoon buildings, anime style, illustration, overprocessed, fake decay"
Nikon Z6II Concert Photography | Концерт Nikon Z6II,"Nikon Z6II, Nikon Z 24-70mm f/2.8 S lens at 35mm, f/2.8 aperture, 1/60s shutter speed, ISO 6400, stage lighting only, no flash, music performance photography, high ISO noise managed","blurry performer, cartoon crowd, anime style, illustration, flash photography, poor timing"
Fujifilm X-Pro3 Documentary | Документальный Fujifilm X-Pro3,"Fujifilm X-Pro3, Fujinon XF 16mm f/1.4 R WR lens, f/2.8 aperture, 1/60s shutter speed, ISO 1600, available light photojournalism, Acros film simulation, grain structure","digital look, cartoon subjects, anime style, illustration, artificial lighting, overprocessed"
Leica Q2 Street Photography | Уличный Leica Q2,"Leica Q2, Summilux 28mm f/1.7 ASPH lens, f/2.0 aperture, 1/125s shutter speed, ISO 400, zone focusing technique, decisive moment street photography, Leica aesthetic","posed street scenes, cartoon people, anime style, illustration, slow shutter, motion blur"
Canon EOS 1D X Mark III Wildlife | Дикая природа Canon 1D X Mark III,"Canon EOS 1D X Mark III, Canon EF 600mm f/4L IS III USM lens with 1.4x extender, f/5.6 aperture, 1/1000s shutter speed, ISO 800, safari lighting conditions, animal behavior photography","zoo enclosure visible, cartoon animals, anime style, illustration, motion blur, poor eye contact"
Sony A7RV High Resolution | Высокое разрешение Sony A7RV,"Sony A7RV, Sony FE 50mm f/1.2 GM lens, f/8.0 aperture, 1/125s shutter speed, ISO 100, pixel-shift multi-shot mode, landscape detail photography, 61MP resolution","blurry details, cartoon landscape, anime style, illustration, noise reduction overdone, poor sharpening"
Nikon D5 Studio Portraiture | Студийный портрет Nikon D5,"Nikon D5, Nikon AF-S NIKKOR 85mm f/1.4G lens, f/2.8 aperture, 1/125s shutter speed, ISO 100, Profoto B10 Plus strobes with octabox and hair light, professional headshot photography","harsh shadows, cartoon face, anime style, illustration, poor skin retouching, amateur lighting"
Fujifilm X-H2S Action | Экшен Fujifilm X-H2S,"Fujifilm X-H2S, XF 16-55mm f/2.8 R LM WR at 55mm, f/2.8 aperture, 1/1000s shutter speed, ISO 800, high-speed burst mode, freezing sports action, film simulation","motion blur, cartoon athletes, anime style, illustration, slow shutter, poor timing"
Hasselblad X1D II Product | Товар Hasselblad X1D II,"Hasselblad X1D II 50C, XCD 45mm f/4 lens, f/5.6 aperture, 1/60s shutter speed, ISO 100, studio product photography with focus stacking, jewelry detail, commercial quality","blurry details, cartoon product, anime style, illustration, fingerprints, poor lighting setup"
Pentax 645N Film Simulation | Пленка Pentax 645N,"Pentax 645N, SMC Pentax-FA 645 45-85mm f/4.5 at 60mm, f/8.0 aperture, 1/125s shutter speed, Portra 400 film simulation, natural light portrait photography, film grain structure","digital look, cartoon portrait, anime style, illustration, overprocessed, fake grain"
Canon EOS R7 Wildlife | Дикая природа Canon EOS R7,"Canon EOS R7, Canon RF 100-500mm f/4.5-7.1L IS USM at 500mm, f/7.1 aperture, 1/1000s shutter speed, ISO 800, crop sensor advantage, bird photography, animal eye tracking","blurry subject, cartoon birds, anime style, illustration, cage visible, poor framing"
Sony A6400 Travel Photography | Путешествия Sony A6400,"Sony A6400, Sony E 16-55mm f/2.8 G at 24mm, f/5.6 aperture, 1/125s shutter speed, ISO 400, travel documentary style, cultural immersion photography, available light","tourist cliché, cartoon people, anime style, illustration, flash photography, staged moments"
Nikon Z fc Vintage Style | Винтаж Nikon Z fc,"Nikon Z fc, NIKKOR Z 28mm f/2.8 (SE) lens, f/2.8 aperture, 1/125s shutter speed, ISO 400, Kodak Portra 400 film simulation, vintage aesthetic, light leaks effect","modern digital look, cartoon subjects, anime style, illustration, overprocessed, fake vintage"
Fujifilm X100V Street Life | Уличная жизнь Fujifilm X100V,"Fujifilm X100V, fixed 23mm f/2 lens, f/4.0 aperture, 1/250s shutter speed, ISO 400, street photography documentary style, film simulation, natural light","posed subjects, cartoon street, anime style, illustration, flash photography, motion blur"
Leica M6 Film Classic | Классика пленки Leica M6,"Leica M6, Summicron-M 50mm f/2 lens, f/2.8 aperture, 1/60s shutter speed, Tri-X 400 film simulation, available light photography, grain structure, classic aesthetic","digital look, cartoon subjects, anime style, illustration, overprocessed, noise reduction"
Canon EOS M50 Vlogging | Влоггинг Canon EOS M50,"Canon EOS M50, EF-M 15-45mm f/3.5-6.3 IS STM at 24mm, f/4.0 aperture, 1/60s shutter speed, ISO 800, ring light setup, social media content creation, vlogger aesthetic","blurry video still, cartoon characters, anime style, illustration, poor lighting, amateur composition"
