name,prompt,negative_prompt
none,,,
"1. Вид с верхней точки (использовать лоры: 8-step и next scene)", "Next Scene: Rotate the angle of the photo to an ultra-high angle shot (bird's eye view) of the subject, with the camera's point of view positioned far above and looking directly down. The perspective should diminish the subject's height and create a sense of vulnerability or isolation, prominently showcasing the details of the head, chest, and the ground/setting around the figure, while the rest of the body is foreshortened but visible. the chest is a focal point of the image, enhanced by the perspective. Important, keep the subject's id, clothes, facial features, pose, and hairstyle identical. Ensure that other elements in the background also change to complement the subject's new diminished or isolated presence. Maintain the original body type and soft figure",,
"2. Вид с нижней точки (использовать лоры: 8-step и next scene)", "Next Scene: Rotate the angle of the photo to an ultra-low angle shot of the subject, with the camera's point of view positioned very close to the legs. The perspective should exaggerate the subject's height and create a sense of monumentality, prominently showcasing the details of the legs, thighs, while the rest of the figure dramatically rises towards up, foreshortened but visible. the legs are a focal point of the image, enhanced by the perspective. Important, keep the subject's id, clothes, facial features, pose, and hairstyle identical. Ensure that other elements in the background also change to complement the subject's new imposing presence. Ensure that the lighting and overall composition reinforce this effect of grandeur and power within the new setting. Maintain the original body type and soft figure",,
"3. Вид сбоку (использовать лоры: 8-step и next scene)", "Next Scene: Rotate the angle of the photo to a direct side angle shot of the subject, with the camera's point of view at eye level with the subject. The perspective should clearly showcase the entire side profile of the subject, maintaining their natural proportions. Important, keep the subject's id, clothes, facial features, pose, and hairstyle identical. Ensure that other elements in the background also change to complement the subject's presence. The lighting and overall composition should reinforce a clear and balanced view of the subject from the side within the new setting. Maintain the original body type and soft figure",,
"4. Экстремальный низкий угол (8-step и next scene)", "The image is captured from an extreme ultra-low angle, with the camera positioned directly beneath the subject, aimed sharply upward. The viewpoint is between and slightly in front of the legs, legs are spread wide, creating a defined stance, creating a strong upward perspective that emphasizes foreshortening. The legs dominate the frame as the primary focal elements, appearing enlarged and powerful due to the proximity to the lens, the ... and inner thighs are highly visible due to the angle.while the upper body recedes into the distance, contributing to a sense of height and monumentality. The composition centers on the perspective distortion and dynamic depth produced by the low vantage point the. can change depending on the clothing",,
"5. Колоризация (использовать лору 4 step)", "Ultra-high quality photo restoration, complete removal of all damage, including cracks, scratches, and stains. Content aware fill lost areas. Full, realistic, and natural colorization across the entire image: skin, hair, clothing, and background. Balanced exposure, lifting shadows and recovering highlight details without crushed blacks or blown-out whites. Enhance facial clarity, expression, and all intricate details. Maintain authentic textures and reduce noise. unbelievable detail, insane texture, sharp focus, incredibly detailed, every single pore and fiber visible, macro photography, cinematic lighting, 8k resolution, photorealistic",,
"5.1 Колоризация (4 step, Qwen-Image-Edit-F2P)", "Remove dust and scratches, Remake into professional color photo, must save the same scene. Improve skin texture and reduce facial blemishes, Remove digital noise and grain from the photo, make the subjects skin details more prominent and natural, upscale the image",,
"6. Улучшение фото (использовать лору 4 step)", "Увеличь качество и детализацию лица и глаз и волос. Добавь фото резкости и качества. Профессиональное фото",,
"7. Улучшение фото (использовать лору 4 step)", "Enhance image quality, followed by textual description of the scene. The more descriptive it is, the better the upscale effect will be",,
"8. Из фото в аниме (4 step, Anime2Realism, Anime2Real, Aurel Manea)", "Convert an anime/manga/digital painting *image* to a highly photorealistic drawing style, created from this photograph, preserving the character's poses, clothing, features, and lighting. Highly refined skin, realistic slender, eyes, and hair, soft frontal lighting, professional photography, 85mm, f/1.8. No cartoonishness, no stylization, no illustrations. Preserve the character composition and poses, symmatic lighting, and realistic personality",,
"9. Из аниме в фото (4 step, Anime2Realism, Anime2Real, Aurel Manea)", "changed the image into realistic photo, aurelmanea2q photography",,
"10. 3D Chibi Style (4 step, Image Edit Omni Trans)", "transform it into 3D Chibi style",,
"11. American Cartoon Style (4 step, Image Edit Omni Trans)", "transform it into American Cartoon Style",,
"12. Chinese Ink Style (4 step, Image Edit Omni Trans)", "transform it into Chinese Ink Style",,
"13. Jojo Style (4 step, Image Edit Omni Trans)", "transform it into Jojo Style",,
"14. Clay Toy Style (4 step, Image Edit Omni Trans)", "transform it into Clay Toy Style",,
"15. Fabric Style (4 step, Image Edit Omni Trans)", "transform it into Fabric Style",,
"16. Ghibli Style (4 step, Image Edit Omni Trans)", "transform it into Ghibli Style",,
"17. Irasutoya Style (4 step, Image Edit Omni Trans)", "transform it into Irasutoya Style",,
"18. LEGO Style (4 step, Image Edit Omni Trans)", "transform it into LEGO Style",,
"19. Line Style (4 step, Image Edit Omni Trans)", "transform it into Line Style",,
"20. Macaron Style (4 step, Image Edit Omni Trans)", "transform it into Macaron Style",,
"21. Oil Painting Style (4 step, Image Edit Omni Trans)", "transform it into Oil Painting Style",,
"22. Origami Style (4 step, Image Edit Omni Trans)", "transform it into Origami Style",,
"23. Paper Cutting Style (4 step, Image Edit Omni Trans)", "transform it into Paper Cutting Style",,
"24. Picasso Style (4 step, Image Edit Omni Trans)", "transform it into Picasso Style",,
"25. Pixel Style (4 step, Image Edit Omni Trans)", "transform it into Pixel Style",,
"26. Poly Style (4 step, Image Edit Omni Trans)", "transform it into Poly Style",,
"27. Pop Art Style (4 step, Image Edit Omni Trans)", "transform it into Pop Art Style",,
"28. Rick Morty Style (4 step, Image Edit Omni Trans)", "transform it into Rick Morty Style",,
"29. Snoopy Style (4 step, Image Edit Omni Trans)", "transform it into Snoopy Style",,
"30. Vector Style (4 step, Image Edit Omni Trans)", "transform it into Vector Style",,
"30. Van Gogh Style (4 step, Image Edit Omni Trans)", "transform it into Van Gogh Style",,
