style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Technical Line Art | Технический лайнарт,"чистый технический лайнарт, точные черные линии чернил, без затенения, без цветовой заливки, эстетика инженерного чертежа, точность линейки и циркуля, стиль архитектурной схемы, четкие линии как в векторной графике","фотореалистичный рендеринг, аниме стиль, мультяшное затенение, цветовые заливки, наложение текстур, эффекты цифровой живописи"
Graphite Pencil Portrait | Графитный портрет,"графитный портрет, диапазон карандашей HB до 9B, тонкие градации тонов, детализированные черты лица, техника размытия пальцем, видимая текстура бумаги, мастерство классического рисунка","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые кисти, гладкие эффекты аэрографа"
Charcoal Figure Study | Угольная фигура,"угольная фигура, текстура мягкого виноградного угля, драматическое киароскуро освещение, экспрессивные жестовые линии, проявляющаяся текстура бумаги, монохромное изучение тонов, эстетика сессии рисования с натуры","фотореалистичный рендеринг, аниме стиль, цветовые заливки, гладкие градиенты, цифровые эффекты, мультяшные пропорции"
Dip Pen Illustration | Перо и тушь,"иллюстрация пером и чернилами, тонкие линии пера-клюва ворона, техника штриховки, эстетика винтажной книжной иллюстрации, сложные детали, акценты сепиевыми чернильными разводами, текстура пергамента","цифровая векторная графика, аниме стиль, мультяшное затенение, цветовые заливки, гладкие градиенты, современный цифровой рендеринг"
Sumi-e Brush Painting | Суми-э кисть,"техника рисования суми-э, традиционная азиатская техника размывки чернил, мазки кистью из бамбука, минималистичная композиция, градации монохромных чернил, передача духовной сущности, текстура рисовой бумаги","фотореалистичный рендеринг, аниме стиль, цветовые заливки, мультяшные пропорции, цифровые эффекты, детализированное затенение"
Ballpoint Pen Sketch | Шариковая ручка,"скетч шариковой ручкой, линии шариковой ручки BIC, техника штриховки для затенения, текстура бумаги для записной книжки, эстетика повседневного скетча, детальное наблюдательное рисование, эффекты растекания чернил","цифровое искусство, аниме стиль, цветовые заливки, гладкие градиенты, векторные линии, качество профессиональной иллюстрации"
Mechanical Pencil Drafting | Механический карандаш,"техника чертежа механическим карандашом, точность грифеля 0.5mm, линии архитектурного эскиза, измеренная перспектива, чистые конструктивные линии, фон миллиметровой бумаги, эстетика технического рисования","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, эффекты цифровой живописи, свободные набросочные линии"
Conte Crayon Landscape | Контэ пейзаж,"пейзажный рисунок мелками контэ, смесь сепии и сангина, текстурированная поверхность бумаги, атмосферная перспектива, мягкие размытые края, классическая европейская техника рисования, романтическое настроение пейзажа","цифровое искусство, аниме стиль, мультяшные пропорции, яркие цвета, гладкие градиенты, фотореалистичные детали, плоские цветовые заливки"
India Ink Manga Panel | Тушь манга,"панель манги тушью, динамичные линии пера G-pen, техника затенения экрантона, стиль японского комикса, драматическая последовательность действий, эффект скоростных линий, контраст черного и белого","фотореалистичный рендеринг, цветные заливки аниме стиля, яркие цвета западных комиксов, цифровая раскраска, 3D эффекты, гладкие градиенты"
Brush Pen Calligraphy | Кистевая каллиграфия,"стиль кистевой каллиграфии, экспрессивные мазки кистевой ручкой Pentel, техника западного письма, вариация толстых и тонких линий, контроль насыщения чернил, эстетика современного рукописного письма, текстура фоновой бумаги","рендеринг цифрового шрифта, аниме стиль, мультяшные пропорции, фотореалистичные детали, гладкие градиенты, векторная типографика"
Technical Blueprint | Технический чертеж,"технический чертеж в стиле схемы, точное механическое проектирование, изометрическая проекция, размерные линии и аннотации, точность инженерного масштаба, эстетика калькирования на световом столе, текстура веллума","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг"
Graphite Still Life | Графитный натюрморт,"графитный натюрморт, детальная прорисовка объектов, изучение отражающих поверхностей, точность падающих теней, видимая текстура бумаги, классическая академическая техника, мастерство тоновых значений","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты аэрографа"
Charcoal Gesture Drawing | Угольный жест,"угольный жестовой рисунок, быстрое изучение позы за 30 секунд, экспрессивные линии энергии, минимум деталей, доминирующая текстура зерна бумаги, эстетика класса рисования с натуры, передача динамичного движения","готовое произведение искусства, аниме стиль, мультяшные пропорции, цветовые заливки, детальная прорисовка, гладкие градиенты, статичная поза"
Crow Quill Botanical | Перо ботаника,"ботаническая иллюстрация пером-вороном, техника точного научного рисования, анатомическая точность растений, детали поперечных сечений, эстетика винтажного гербария, фоновые разводы чернил, текстура пергамента","цифровое искусство, аниме стиль, мультяшные пропорции, яркие цвета, гладкие градиенты, фотореалистичный рендеринг, художественная интерпретация"
Chinese Brush Landscape | Китайская кисть,"китайская кистевая живопись пейзажа, традиционная техника гунби, композиция гор и воды, градации чернильной размывки, философская пустота, эффекты поглощения рисовой бумаги, духовная связь с природой","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, западная перспектива, детальный передний план"
Fountain Pen Journal | Перо в журнал,"эскиз в журнале чернильной ручкой, тонкие линии ручки Lamy Safari, текстура бумаги Moleskine, эстетика дорожного дневника, быстрый наблюдательный рисунок, эффекты перьевания чернил, интеграция личного почерка","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, качество профессиональной иллюстрации, векторные линии"
Graphite Hyperrealism | Графитный гиперреализм,"гиперреалистичный графитный рисунок, мастерство 12-ступенчатой шкалы тонов, точность фотографической референции, детализация текстуры кожи, прорисовка отдельных волосков, интеграция текстуры поверхности бумаги, классическая академическая техника","аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, экспрессивная техника кисти, художественная интерпретация"
Charcoal Portrait Study | Угольный портрет,"исследование портрета углем, смесь виноградного и прессованного угля, драматическое освещение в стиле Рембрандта, блики ластиком, атмосфера текстурированного фона, фокус на эмоциональном выражении, монохромная глубина","фотореалистичная цветовая передача, аниме стиль, мультяшные пропорции, гладкие цифровые градиенты, яркие цвета, векторные линии, четкие края"
Technical Fashion Sketch | Технический модный скетч,"технический модный скетч, рисунок кроя фигуры, линии конструкции одежды, обозначения текстуры ткани, черчение плоского узора, страница спецификации дизайна, техника индустриального стандарта","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, фотореалистичные детали"
Dip Pen Fantasy Illustration | Перо фэнтези,"иллюстрация фэнтези пером, тонкие линии пера Hunt 102, дизайн существ в стиле Толкина, техника штриховки для затенения, эстетика винтажного журнала pulp, сложная детальная работа, фон пергамента","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, современный цифровой рендеринг, 3D эффекты"
Brush Ink Abstraction | Кисть абстракция,"абстракция кистью и чернилами, экспрессивные жестовые мазки, эффекты растекания чернил на впитывающей бумаге, исследование монохромных тонов, минималистичная композиция, влияние дзен-буддизма, спонтанное творчество","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, детальное представление, гладкие градиенты, планируемая композиция"
Ballpoint Pen Illustration | Шариковая иллюстрация,"иллюстрация шариковой ручкой, точность ручки Bic Cristal, техника точечной штриховки для затенения, детальная работа с узорами, эстетика полей записной книжки, качество личного скетчбука, доступная художественная техника","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, профессиональные инструменты, дорогие материалы, векторные линии"
Mechanical Drafting | Механическая графика,"чертеж механическим карандашом, точность Т-образного угольника и треугольника, ортогональная проекция, аннотации размеров, эстетика инженерной схемы, фон миллиметровой бумаги, фокус на технической точности","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, свободные набросочные линии"
Conte Figure Drawing | Контэ фигура,"рисунок фигуры мелками контэ, классическая техника ателье, метод Рейли для конструкции, разделение теплых и холодных тонов, интеграция текстуры зернистой бумаги, анатомическая точность, баланс жеста и формы","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, качество случайного наброска"
Technical Diagram | Техническая схема,"техническая иллюстрация схемы, стиль разобранного вида, детали поперечных сечений, система маркировки, эстетика инструкции, четкая визуальная коммуникация, вариация толщины линий","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, декоративные элементы"
Graphite Landscape Study | Графитный пейзаж,"исследование пейзажа графитом, мастерство градаций тоновых значений, техника атмосферной перспективы, детальная прорисовка листвы деревьев, точность падающих теней, интеграция текстуры бумаги, эстетика пленэрного скетча","фотореалистичная передача цвета, аниме стиль, мультяшные пропорции, цифровые эффекты, гладкие градиенты, яркие цвета, векторные линии"
Charcoal Cityscape | Угольный город,"городской пейзаж углем, городская ночная сцена, драматические эффекты уличного освещения, блики ластиком для окон, атмосферная перспектива, текстурированные здания на заднем плане, мрачная атмосфера","яркие радостные цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, дневная сцена"
Dip Pen Map Illustration | Перо карта,"иллюстрация карты пером, техника винтажной картографии, деталь розы ветров, рукописные названия мест, работа линиями топографии, текстура пергаментной бумаги, эстетика журнала исследователя","цифровое картографирование, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, современный рендеринг ГИС, спутниковые изображения"
Sumi-e Bamboo Study | Суми-э бамбук,"исследование бамбука суми-э, традиционная азиатская техника кисти, минимальное количество мазков, передача духовной сущности, мастерство градаций чернил, текстура рисовой бумаги, эстетика медитативной практики","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, детальное затенение, западная перспектива"
Fountain Pen Architecture | Перо архитектура,"архитектурный скетч чернильной ручкой, точные линии тонкого пера, конструкция перспективы, аннотации деталей здания, изучение городской среды, текстура бумаги Moleskine, эстетика профессионального архитектора","цифровой рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, 3D моделирование, гладкие градиенты, качество случайного наброска"
Graphite Portrait Study | Графитный портрет,"исследование портрета графитом, техника академического рисования, метод Рейли для конструкции, тонкие переходы тонов, видимая текстура зерна бумаги, фокус на выразительных глазах, эстетика классической подготовки","аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты аэрографа, фотореалистичная текстура кожи, современный цифровой рендеринг"
Charcoal Still Life | Угольный натюрморт,"натюрморт углем, мастерство освещения киароскуро, интеграция текстурированной бумаги, драматические формы теней, техника выделения ластиком, исследование монохромных тонов, эстетика классического ателье","яркие цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, фотореалистичный рендеринг"
Technical Exploded View | Технический разрез,"иллюстрация разобранного вида, стиль механической сборки, система маркировки деталей, изометрическая проекция, точность инженерной схемы, эстетика инструкции, чистая работа линий","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, декоративные элементы"
