style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Van Gogh Impasto | Импасто Ван Гога,"Vincent van Gogh style, thick impasto brushstrokes, swirling sky patterns, vibrant contrasting colors, expressive emotional brushwork, oil on canvas texture, post-impressionist technique, visible palette knife marks","photorealistic, smooth blending, cartoon, anime, digital art, flat colors, minimal texture"
Monet Impressionism | Импрессионизм Моне,"Claude Monet style, soft impressionist brushwork, light and atmosphere focus, water lilies pond scene, broken color technique, plein air painting, dappled sunlight effects, visible canvas texture","photorealistic, harsh lines, cartoon characters, anime style, digital rendering, smooth gradients"
Rembrandt Chiaroscuro | Киароскуро Рембрандта,"Rembrandt van Rijn style, dramatic chiaroscuro lighting, warm golden tones, psychological portrait depth, oil painting mastery, baroque composition, soft shadow transitions, rich fabric textures","bright flat lighting, cartoon faces, anime eyes, photorealistic skin, digital art, modern aesthetics"
Picasso Cubism | Кубизм Пикассо,"Pablo Picasso cubist style, geometric fragmentation, multiple viewpoints simultaneously, angular shapes, monochromatic palette with accents, analytical cubism technique, fractured perspective","photorealistic, smooth curves, cartoon proportions, anime style, symmetrical composition, traditional perspective"
Dali Surrealism | Сюрреализм Дали,"Salvador Dali surrealist style, dreamlike imagery, melting clocks, hyperrealistic detail within fantastical scenes, symbolic elements, precise brushwork, desert landscape background, Freudian symbolism","cartoonish, anime characters, photorealistic portrait, cheerful colors, logical composition, mundane subject"
Michelangelo Renaissance | Ренессанс Микеланджело,"Michelangelo Buonarroti Renaissance style, anatomical precision, muscular figures, fresco technique, Sistine Chapel ceiling composition, divine figures, classical proportions, spiritual intensity","modern art, cartoon anatomy, anime exaggeration, digital colors, flat perspective, contemporary subject"
Hokusai Ukiyo-e | Укиё-э Хокусая,"Katsushika Hokusai ukiyo-e woodblock print style, Japanese traditional art, The Great Wave off Kanagawa composition, bold outlines, flat color areas, nature theme, wood grain texture visible, Edo period aesthetics","digital art, photorealistic water, cartoon waves, anime characters, 3D rendering, Western perspective"
Kandinsky Abstract | Абстракция Кандинского,"Wassily Kandinsky abstract expressionism, geometric shapes floating in space, vibrant color theory application, spiritual through art concept, non-representational composition, dynamic balance, Bauhaus influence","figurative art, photorealistic details, cartoon characters, anime style, literal representation, traditional composition"
Matisse Fauvism | Фовизм Матисса,"Henri Matisse fauvist style, bold unnatural colors, simplified forms, decorative patterns, flat perspective, joyful subjects, cut-out paper technique influence, expressive line work","muted colors, photorealistic shading, cartoon characters, anime eyes, digital rendering, complex perspective"
Raphael High Renaissance | Высокий Ренессанс Рафаэля,"Raphael Sanzio High Renaissance style, perfect harmony and balance, Madonna and Child compositions, soft sfumato technique, idealized beauty, classical architecture background, balanced triangular composition","modern art, cartoon proportions, anime style, dramatic lighting, abstract forms, contemporary subject matter"
Pollock Action Painting | Экшен-пейнтинг Поллока,"Jackson Pollock action painting style, drip technique, splattered paint patterns, gestural abstraction, large canvas scale, energetic movement captured, house paint on unprimed canvas, no central focal point","figurative art, cartoon characters, anime style, careful brushwork, traditional composition, recognizable subjects"
