style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Technical Line Art | Технический лайнарт,"clean technical line art, precise black ink lines, no shading, no color fill, engineering drawing aesthetic, ruler and compass precision, architectural blueprint style, crisp vector-like lines","photorealistic rendering, anime style, cartoon shading, color fills, texture overlays, digital painting effects"
Graphite Pencil Portrait | Графитный портрет,"graphite pencil portrait, HB to 9B pencil range, subtle tonal gradations, detailed facial features, smudge blending technique, paper tooth texture visible, classical drawing mastery","digital art, anime style, cartoon proportions, color fills, digital brushes, smooth airbrushed effects"
Charcoal Figure Study | Угольная фигура,"charcoal figure study, soft vine charcoal texture, dramatic chiaroscuro lighting, expressive gestural marks, paper grain showing through, monochromatic value study, life drawing session aesthetic","photorealistic rendering, anime style, color fills, smooth gradients, digital effects, cartoon proportions"
Dip Pen Illustration | Перо и тушь,"dip pen and ink illustration, crow quill nib fine lines, cross-hatching technique, vintage book illustration style, intricate details, sepia ink wash accents, parchment paper texture","digital vector art, anime style, cartoon shading, color fills, smooth gradients, modern digital rendering"
Sumi-e Brush Painting | Суми-э кисть,"Sumi-e brush painting style, traditional Asian ink wash technique, bamboo brush strokes, minimalistic composition, monochrome ink gradations, spiritual essence capture, rice paper texture","photorealistic rendering, anime style, color fills, cartoon proportions, digital effects, detailed shading"
Ballpoint Pen Sketch | Шариковая ручка,"ballpoint pen sketch style, Bic pen ballpoint lines, cross-hatching shading technique, notebook paper texture, everyday sketch aesthetic, detailed observational drawing, ink bleed effects","digital art, anime style, color fills, smooth gradients, vector lines, professional illustration quality"
Mechanical Pencil Drafting | Механический карандаш,"mechanical pencil drafting style, 0.5mm graphite lead precision, architectural sketch lines, measured perspective, clean construction lines, gridded paper background, technical drawing aesthetic","photorealistic rendering, anime style, cartoon proportions, color fills, digital painting effects, loose sketchy lines"
Conte Crayon Landscape | Контэ пейзаж,"Conte crayon landscape drawing, sepia and sanguine crayon blend, textured paper surface, atmospheric perspective, soft blended edges, classical European drawing technique, romantic landscape mood","digital art, anime style, cartoon proportions, bright colors, smooth gradients, photorealistic details, flat color fills"
India Ink Manga Panel | Тушь манга,"India ink manga panel art, G-pen nib dynamic lines, screen tone shading technique, Japanese comic book style, dramatic action sequence, speed lines effect, black and white contrast","photorealistic rendering, anime style color fills, Western comic book colors, digital coloring, 3D effects, smooth gradients"
Brush Pen Calligraphy | Кистевая каллиграфия,"brush pen calligraphy style, Pentel brush pen expressive strokes, Western lettering technique, thick and thin line variation, ink saturation control, modern hand-lettering aesthetic, textured paper background","digital font rendering, anime style, cartoon proportions, photorealistic details, smooth gradients, vector typography"
Technical Blueprint | Технический чертеж,"technical blueprint drawing style, precise mechanical drafting, isometric projection, dimension lines and annotations, engineering scale accuracy, light table tracing aesthetic, vellum paper texture","artistic interpretation, anime style, cartoon proportions, color fills, expressive brushwork, emotional rendering"
Graphite Still Life | Графитный натюрморт,"graphite still life drawing, detailed object rendering, reflective surface study, cast shadow precision, paper tooth texture visible, classical academic technique, tonal value mastery","photorealistic rendering, anime style, cartoon proportions, color fills, digital effects, smooth airbrushed gradients"
Charcoal Gesture Drawing | Угольный жест,"charcoal gesture drawing, quick 30-second pose study, expressive energy lines, minimal detail focus, paper grain texture dominant, life drawing class aesthetic, dynamic movement capture","finished artwork, anime style, cartoon proportions, color fills, detailed rendering, smooth gradients, static pose"
Crow Quill Botanical | Перо ботаника,"crow quill botanical illustration, fine scientific drawing technique, plant anatomy precision, cross-section details, vintage herbarium aesthetic, ink wash background, parchment paper texture","digital art, anime style, cartoon proportions, bright colors, smooth gradients, photorealistic rendering, artistic interpretation"
Chinese Brush Landscape | Китайская кисть,"Chinese brush landscape painting, traditional Gongbi technique, mountain and water composition, ink wash gradations, philosophical emptiness, rice paper absorption effects, spiritual nature connection","photorealistic rendering, anime style, cartoon proportions, color fills, digital effects, Western perspective, detailed foreground"
Fountain Pen Journal | Перо в журнал,"fountain pen journal sketch, Lamy Safari pen fine lines, Moleskine paper texture, travel diary aesthetic, quick observational drawing, ink feathering effects, personal handwriting integration","digital art, anime style, cartoon proportions, color fills, smooth gradients, professional illustration quality, vector lines"
Graphite Hyperrealism | Графитный гиперреализм,"graphite hyperrealistic drawing, 12-step value scale mastery, photo reference precision, skin texture detail, individual hair strands rendering, paper surface texture integration, classical academic technique","anime style, cartoon proportions, color fills, digital effects, smooth gradients, expressive brushwork, artistic interpretation"
Charcoal Portrait Study | Угольный портрет,"charcoal portrait study, vine and compressed charcoal blend, dramatic Rembrandt lighting, paper eraser highlights, textured background atmosphere, emotional expression focus, monochromatic depth","photorealistic color rendering, anime style, cartoon proportions, smooth digital gradients, bright colors, vector lines, clean edges"
Technical Fashion Sketch | Технический модный скетч,"technical fashion sketch style, fashion croquis drawing, garment construction lines, fabric texture indications, flat pattern drafting, design specification sheet, industry standard technique","artistic interpretation, anime style, cartoon proportions, color fills, expressive brushwork, emotional rendering, photorealistic details"
Dip Pen Fantasy Illustration | Перо фэнтези,"dip pen fantasy illustration, Hunt 102 nib fine lines, Tolkien-inspired creature design, cross-hatching shading technique, vintage pulp magazine aesthetic, intricate detail work, parchment background","digital art, anime style, cartoon proportions, color fills, smooth gradients, modern digital rendering, 3D effects"
Brush Ink Abstraction | Кисть абстракция,"brush ink abstraction style, expressive gestural marks, ink bleed effects on absorbent paper, monochromatic value exploration, minimalistic composition, Zen Buddhist influence, spontaneous creation","photorealistic rendering, anime style, cartoon proportions, color fills, detailed representation, smooth gradients, planned composition"
Ballpoint Pen Illustration | Шариковая иллюстрация,"ballpoint pen illustration style, Bic Cristal pen precision, stippling technique for shading, detailed pattern work, notebook margin aesthetic, personal sketchbook quality, accessible art medium","digital art, anime style, cartoon proportions, color fills, smooth gradients, professional tools, expensive materials, vector lines"
Mechanical Drafting | Механическая графика,"mechanical drafting drawing style, T-square and triangle precision, orthographic projection, dimension annotations, engineering blueprint aesthetic, graph paper background, technical accuracy focus","artistic interpretation, anime style, cartoon proportions, color fills, expressive brushwork, emotional rendering, loose sketchy lines"
Conte Figure Drawing | Контэ фигура,"Conte crayon figure drawing, classical atelier technique, Reilly method construction, warm and cool value separation, textured paper tooth integration, anatomical accuracy, gesture and form balance","photorealistic rendering, anime style, cartoon proportions, color fills, digital effects, smooth gradients, casual sketch quality"
Technical Diagram | Техническая схема,"technical diagram illustration style, exploded view drawing, cutaway sections, labeling system, instructional manual aesthetic, clear visual communication, precise line weights variation","artistic interpretation, anime style, cartoon proportions, color fills, expressive brushwork, emotional rendering, decorative elements"
Graphite Landscape Study | Графитный пейзаж,"graphite landscape study, tonal value gradation mastery, atmospheric perspective technique, detailed tree foliage rendering, cast shadow precision, paper texture integration, plein air sketch aesthetic","photorealistic color rendering, anime style, cartoon proportions, digital effects, smooth gradients, bright colors, vector lines"
Charcoal Cityscape | Угольный город,"charcoal cityscape drawing, urban night scene, dramatic street lighting effects, paper eraser highlights for windows, atmospheric perspective, textured background buildings, moody atmosphere","bright cheerful colors, anime style, cartoon proportions, color fills, digital effects, smooth gradients, daytime scene"
Dip Pen Map Illustration | Перо карта,"dip pen map illustration style, vintage cartography technique, compass rose detail, hand-lettered place names, topographic line work, parchment paper texture, explorer's journal aesthetic","digital mapping, anime style, cartoon proportions, color fills, smooth gradients, modern GIS rendering, satellite imagery"
Sumi-e Bamboo Study | Суми-э бамбук,"Sumi-e bamboo study painting, traditional Asian brush technique, minimal stroke count, spiritual essence capture, ink gradation mastery, rice paper texture, meditative practice aesthetic","photorealistic rendering, anime style, cartoon proportions, color fills, digital effects, detailed shading, Western perspective"
Fountain Pen Architecture | Перо архитектура,"fountain pen architectural sketch, fine nib precision lines, perspective construction, building detail annotations, urban environment study, Moleskine paper texture, professional architect aesthetic","digital rendering, anime style, cartoon proportions, color fills, 3D modeling, smooth gradients, casual sketch quality"
Graphite Portrait Study | Графитный портрет,"graphite portrait study, academic drawing technique, Reilly method construction, subtle value transitions, paper tooth texture visible, expressive eyes focus, classical training aesthetic","anime style, cartoon proportions, color fills, digital effects, smooth airbrushed gradients, photorealistic skin texture, modern digital rendering"
Charcoal Still Life | Угольный натюрморт,"charcoal still life drawing, chiaroscuro lighting mastery, textured paper integration, dramatic shadow shapes, eraser highlight technique, monochromatic value study, classical atelier aesthetic","bright colors, anime style, cartoon proportions, color fills, digital effects, smooth gradients, photorealistic rendering"
Technical Exploded View | Технический разрез,"technical exploded view drawing style, mechanical assembly illustration, part labeling system, isometric projection, engineering blueprint precision, instructional manual aesthetic, clean line work","artistic interpretation, anime style, cartoon proportions, color fills, expressive brushwork, emotional rendering, decorative elements"
Dip Pen Narrative Illustration | Перо нарратив,"dip pen narrative illustration style, sequential panel composition, storytelling focus, character expression details, vintage comic book aesthetic, cross-hatching shading technique, ink wash background","digital comic art, anime style, cartoon proportions, color fills, smooth gradients, modern digital coloring, 3D effects"
Brush Ink Portrait | Кисть портрет,"brush ink portrait style, expressive gestural marks, minimal stroke count, emotional essence capture, rice paper texture, monochromatic value gradation, Zen Buddhist influence","photorealistic rendering, anime style, cartoon proportions, color fills, detailed shading, smooth gradients, Western perspective drawing"
Ballpoint Pen Mandala | Шариковая мандала,"ballpoint pen mandala drawing, intricate geometric pattern work, stippling shading technique, meditative repetitive marks, circular composition, notebook paper texture, personal spiritual practice aesthetic","digital art, anime style, cartoon proportions, color fills, smooth gradients, professional tools, vector patterns, computer-generated design"
Mechanical Pencil Perspective | Механический перспектива,"mechanical pencil perspective drawing, one-point vanishing perspective mastery, architectural interior study, construction line precision, measured scale accuracy, gridded paper background, technical drafting aesthetic","artistic interpretation, anime style, cartoon proportions, color fills, expressive brushwork, emotional rendering, loose sketchy lines"
Conte Landscape | Контэ пейзаж,"Conte crayon landscape drawing, classical European technique, atmospheric perspective mastery, soft blended edges, textured paper tooth integration, romantic mood atmosphere, monochromatic value gradation","photorealistic color rendering, anime style, cartoon proportions, digital effects, smooth gradients, bright vibrant colors, vector lines"
Technical Cutaway | Технический разрез,"technical cutaway illustration style, mechanical interior exposure, part labeling system, transparent section view, engineering diagram precision, instructional manual aesthetic, clean line weights","artistic interpretation, anime style, cartoon proportions, color fills, expressive brushwork, emotional rendering, decorative elements"
Graphite Gesture Drawing | Графитный жест,"graphite gesture drawing study, quick 60-second pose capture, minimal line economy, essential form indication, paper texture visible, life drawing class aesthetic, dynamic movement essence","finished artwork, anime style, cartoon proportions, color fills, detailed rendering, smooth gradients, static pose, photorealistic details"
Charcoal Abstraction | Угольная абстракция,"charcoal abstract drawing, expressive gestural marks, dramatic value contrasts, paper grain texture dominant, emotional atmosphere focus, monochromatic depth exploration, spontaneous creation","photorealistic representation, anime style, cartoon proportions, color fills, smooth gradients, planned composition, detailed subject matter"
Dip Pen Scientific | Перо научный,"dip pen scientific illustration style, anatomical accuracy precision, cross-section detail work, vintage textbook aesthetic, precise labeling system, ink wash background, academic research documentation","digital art, anime style, cartoon proportions, color fills, smooth gradients, artistic interpretation, modern rendering, 3D effects"
Sumi-e Floral Study | Суми-э цветы,"Sumi-e floral study painting, traditional Asian brush technique, minimal stroke count, spiritual essence capture, ink gradation mastery, rice paper texture, seasonal theme focus","photorealistic rendering, anime style, cartoon proportions, color fills, digital effects, detailed shading, Western perspective, bright vibrant colors"
Fountain Pen Travel | Перо путешествия,"fountain pen travel sketch, Lamy pen fine lines, Moleskine paper texture, quick location capture, architectural detail observation, personal journal aesthetic, ink feathering effects","digital art, anime style, cartoon proportions, color fills, smooth gradients, professional illustration quality, vector lines, studio lighting"
Graphite Animal Study | Графитный животные,"graphite animal study drawing, detailed fur texture rendering, anatomical accuracy, expressive eyes focus, cast shadow precision, paper tooth texture visible, wildlife observation aesthetic","photorealistic color rendering, anime style, cartoon proportions, color fills, digital effects, smooth gradients, anthropomorphic features"
Charcoal Portrait | Угольный портрет,"charcoal portrait drawing, dramatic chiaroscuro lighting, vine charcoal texture dominance, paper eraser highlights, emotional expression focus, monochromatic depth mastery, classical atelier technique","bright cheerful colors, anime style, cartoon proportions, color fills, digital effects, smooth gradients, photorealistic rendering, minimal texture"
Technical Schematic | Техническая схема,"technical schematic diagram style, electrical circuit drawing, component labeling system, flow chart composition, engineering precision, clean line weights variation, instructional manual aesthetic","artistic interpretation, anime style, cartoon proportions, color fills, expressive brushwork, emotional rendering, decorative elements, hand-drawn sketch quality"
Dip Pen Mythological | Перо мифология,"dip pen mythological illustration style, classical Greek/Roman themes, intricate border designs, cross-hatching shading technique, vintage manuscript aesthetic, parchment paper texture, storytelling narrative focus","digital art, anime style, cartoon proportions, color fills, smooth gradients, modern digital rendering, 3D effects, contemporary themes"
