style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Van Gogh Импасто | Импасто Ван Гога,"стиль Винсента Ван Гога, толстые импасто мазки, вихревые узоры неба, яркие контрастные цвета, экспрессивная эмоциональная манера, текстура масла на холсте, постимпрессионистская техника, видимые следы мастихина","фотореалистично, гладкое смешивание, мультфильм, аниме, цифровое искусство, плоские цвета, минимальная текстура"
Monet Импрессионизм | Импрессионизм Моне,"стиль Клода Моне, мягкие импрессионистские мазки, фокус на свете и атмосфере, сцена с кувшинками, техника раздельного цвета, пленэрная живопись, эффекты рассеянного солнечного света, видимая текстура холста","фотореалистично, резкие линии, мультяшные персонажи, аниме стиль, цифровая графика, плавные градиенты"
Rembrandt Киароскуро | Киароскуро Рембрандта,"стиль Рембрандта ван Рейна, драматическое киароскуро освещение, теплые золотистые тона, психологическая глубина портретов, мастерство масляной живописи, барочная композиция, мягкие переходы теней, богатые текстуры тканей","яркое плоское освещение, мультяшные лица, глаза аниме, фотореалистичная кожа, цифровое искусство, современная эстетика"
Picasso Кубизм | Кубизм Пикассо,"кубистский стиль Пабло Пикассо, геометрическая фрагментация, несколько точек зрения одновременно, угловатые формы, монохромная палитра с акцентами, аналитический кубизм техника, раздробленная перспектива","фотореалистично, плавные кривые, мультяшные пропорции, аниме стиль, симметричная композиция, традиционная перспектива"
Dali Сюрреализм | Сюрреализм Дали,"сюрреалистический стиль Сальвадора Дали, сновидческие образы, тающие часы, гиперреалистичные детали в фантастических сценах, символические элементы, точная манера письма, пустынный пейзаж на заднем плане, фрейдистская символика","мультяшный стиль, персонажи аниме, фотореалистичный портрет, радостные цвета, логичная композиция, обыденный сюжет"
Michelangelo Ренессанс | Ренессанс Микеланджело,"стиль Микеланджело Буонарроти эпохи Ренессанса, анатомическая точность, мускулистые фигуры, техника фрески, композиция потолка Сикстинской капеллы, божественные фигуры, классические пропорции, духовная интенсивность","современное искусство, мультяшная анатомия, аниме преувеличение, цифровые цвета, плоская перспектива, современный сюжет"
Hokusai Укиё-э | Укиё-э Хокусая,"стиль укиё-э Кацусики Хокусая, японское традиционное искусство, композиция «Большая волна у берегов Канагавы», смелые контуры, плоские цветовые области, природная тема, видимая текстура дерева, эстетика периода Эдо","цифровое искусство, фотореалистичная вода, мультяшные волны, персонажи аниме, 3D рендеринг, западная перспектива"
Kandinsky Абстракция | Абстракция Кандинского,"абстрактный экспрессионизм Василия Кандинского, геометрические формы, парящие в пространстве, применение теории цвета, концепция духовного через искусство, нерепрезентативная композиция, динамичный баланс, влияние Баухауса","фигуративное искусство, фотореалистичные детали, мультяшные персонажи, аниме стиль, буквальное представление, традиционная композиция"
Matisse Фовизм | Фовизм Матисса,"фовистский стиль Анри Матисса, смелые неестественные цвета, упрощенные формы, декоративные узоры, плоская перспектива, радостные сюжеты, влияние техники вырезания бумаги, экспрессивная линия","приглушенные цвета, фотореалистичное затенение, мультяшные персонажи, глаза аниме, цифровой рендеринг, сложная перспектива"
Raphael Высокий Ренессанс | Высокий Ренессанс Рафаэля,"стиль Рафаэля Санти Высокого Ренессанса, совершенная гармония и баланс, композиции Мадонны с Младенцем, мягкая техника сфумато, идеализированная красота, фон с классической архитектурой, сбалансированная треугольная композиция","современное искусство, мультяшные пропорции, аниме стиль, драматическое освещение, абстрактные формы, современный сюжет"
Pollock Экшен-пейнтинг | Экшен-пейнтинг Поллока,"стиль экшен-пейнтинг Джексона Поллока, техника капания, разбрызганные узоры краски, гештальт-абстракция, масштаб холста, запечатленная энергичная движения, домашняя краска на негрунтованном холсте, отсутствие центральной точки","фигуративное искусство, мультяшные персонажи, аниме стиль, аккуратная манера письма, традиционная композиция, узнаваемые сюжеты"
Botticelli Ранний Ренессанс | Ранний Ренессанс Боттичелли,"стиль Сандро Боттичелли Раннего Ренессанса, линейная грация, мифологические темы, Венера, выходящая из моря, тонкие черты, струящиеся волосы, техника темперы на панели, богатые декоративные детали","современная фотография, мультяшные пропорции, глаза аниме, цифровые цвета, драматические тени, современная обстановка"
Da Vinci Сфумато | Сфумато да Винчи,"техника сфумато Леонардо да Винчи, тонкие дымчатые переходы, загадочная улыбка Моны Лизы, атмосферная перспектива, детальные ботанические исследования, мастерство киароскуро, гуманизм эпохи Возрождения","четкие края, мультяшные лица, стиль аниме, яркие плоские цвета, цифровой рендеринг, современная композиция"
Turner Романтизм | Романтизм Тёрнера,"романтический стиль Дж.М.У. Тёрнера, атмосферные морские пейзажи, сублимная сила природы, свободная манера письма, предполагающая форму, драматические сцены шторма, сияющий золотой свет, эффекты прозрачности масляной краски","фотореалистичные детали, мультяшные волны, персонажи аниме, четкие линии, цифровое искусство, спокойное мирное настроение"
Vermeer Голландский золотой век | Голландский золотой век Вермеера,"стиль Яна Вермеера Голландского золотого века, интимные бытовые сцены, освещение портрета девушки с жемчужной сережкой, тщательное наблюдение света, тщательные детали, настроение тихого созерцания, фирменный пигмент свинцово-оловянной желтизны","драматическое освещение, мультяшные персонажи, глаза аниме, современная обстановка, абстрактные формы, занятая композиция"
Frida Kahlo Наивный стиль | Наивный стиль Фриды Кало,"наивный художественный стиль Фриды Кало, автопортреты с символическими элементами, мексиканские культурные мотивы, яркие народные цвета, выражение личной боли, сюрреалистические ботанические элементы, узоры коренных тканей","фотореалистичный портрет, мультяшное преувеличение, стиль аниме, гладкое смешивание, западная эстетика, общий сюжет"
Diego Rivera Монументализм | Монументализм Диего Риверы,"стиль монументализма Диего Риверы, монументальное общественное искусство, темы социальной справедливости, фигуры коренных мексиканцев, смелые упрощенные формы, техника фрески, образовательная нарративная композиция","маленький холст, мультяшные персонажи, аниме стиль, абстрактные формы, личный сюжет, цифровой рендеринг"
Warhol Поп-арт | Поп-арт Уорхола,"стиль поп-арта Энди Уорхола, повторение банок супа Campbell's, шелкографические портреты Мэрилин Монро, яркие коммерческие цвета, эстетика массового производства, комментарий к культуре знаменитостей","текстура живописи руками, мультяшные персонажи, аниме стиль, приглушенные цвета, традиционная композиция, уникальный сюжет"
Basquiat Неоэкспрессионизм | Неоэкспрессионизм Баскии,"неоэкспрессионистский стиль Жан-Мишеля Баскии, граффити-вдохновленные элементы, символ короны, интеграция текста, сырье примитивные фигуры, городская энергия, элементы коллажа в смешанной технике, социальный комментарий","фотореалистичные детали, мультяшные персонажи, глаза аниме, гладкое смешивание, традиционная перспектива, радостное настроение"
Georgia O'Keeffe Американский модернизм | Американский модернизм О'Кифф,"американский стиль модернизма Джорджии О'Кифф, увеличенные лепестки цветов, абстракции пустынного пейзажа, чистые линии, упрощенные органические формы, влияние пейзажей Нью-Мексико, точные цветовые градации","мультяшные цветы, персонажи аниме, фотореалистичные детали, занятая композиция, цифровой рендеринг, городской сюжет"
Caravaggio Барокко | Барокко Караваджо,"барочный стиль Караваджо, экстремальное тенебризм освещение, драматические религиозные сцены, обычные люди как модели, интенсивное эмоциональное выражение, театральная композиция, эффект темного фона со световым пятном","яркое равномерное освещение, мультяшные лица, глаза аниме, фотореалистичная текстура кожи, цифровое искусство, современный сюжет"
Gustav Klimt Ар-нуво | Ар-нуво Климта,"стиль ар-нуво Густава Климта, золотые украшения «Поцелуй», влияние византийских мозаик, эротическая символика, узоры струящихся волос, декоративные геометрические узоры, движение венского сецессиона","фотореалистичный портрет, мультяшные персонажи, аниме стиль, минимальное украшение, современные цвета, простая композиция"
Edvard Munch Экспрессионизм | Экспрессионизм Мунка,"экспрессионистский стиль Эдварда Мунка, эмоциональная интенсивность «Крика», вихревые узоры тревоги, смелые контрастные цвета, изображение психологических мучений, упрощенные человеческие фигуры, влияние техники дерева","спокойное мирное настроение, мультяшные персонажи, глаза аниме, фотореалистичные детали, радостные цвета, логичная композиция"
Henri Rousseau Наивный стиль | Наивный стиль Руссо,"наивный художественный стиль Анри Руссо, сцены джунглей с экзотическими животными, плоская перспектива, детская непосредственность, детальные узоры листвы, сказочная атмосфера, самобытная техника, парижское пригородное воображение","фотореалистичные джунгли, мультяшные животные, персонажи аниме, драматическое освещение, профессиональная перспектива, реалистичные текстуры"
Marc Chagall Сюрреализм | Сюрреализм Шагала,"сюрреалистический стиль Марка Шагала, парящие влюбленные над деревней, элементы еврейского фольклора, сказочная цветовая палитра, прозрачные перекрывающиеся фигуры, символизм музыкальных инструментов, воспоминания о Витебске","фотореалистичный портрет, мультяшные персонажи, аниме стиль, реалистичная перспектива, обыденный сюжет, земляные тона"
Renoir Импрессионистские фигуры | Импрессионистские фигуры Ренуара,"импрессионистский стиль Пьера-Огюста Ренуара, радостные общественные собрания, мягкие женские фигуры, проникающий через деревья солнечный свет, теплая цветовая палитра, свободная манера письма, предполагающая форму, парижские кафе сцены","четкие края, мультяшные персонажи, глаза аниме, фотореалистичные детали, холодная цветовая схема, одинокие фигуры, драматическое настроение"
Paul Klee Баухаус | Баухаус Клея,"стиль Баухауса Пауля Клее, геометрическая абстракция, качество детского рисунка, влияние музыкальной нотации, символические знаки и иероглифы, приглушенные земляные тона с акцентами, швейцарская точность, встречающаяся с фантазией","фотореалистичные детали, мультяшные персонажи, аниме стиль, гладкое смешивание, традиционная перспектива, драматическое освещение"
Egon Schiele Экспрессионизм | Экспрессионизм Шиле,"экспрессионистский стиль Эгона Шиле, искаженные человеческие фигуры, откровенная сексуальность, угловатые позы, нервная линия, психологическая интенсивность, венский модернизм, вытянутые пальцы и конечности","фотореалистичная анатомия, мультяшные пропорции, глаза аниме, гладкое затенение, радостное настроение, идеализированная красота, традиционная композиция"
Joan Miro Сюрреализм | Сюрреализм Миро,"сюрреалистический стиль Хуана Миро, биоморфные формы, игривые абстрактные фигуры, основная цветовая палитра, влияние каталонского народного искусства, техника автоматического рисования, сказочные символы, парящие в пространстве","фотореалистичные детали, мультяшные персонажи, аниме стиль, реалистичная перспектива, представительные формы, традиционная композиция"
Piet Mondrian Де Стейл | Де Стейл Мондриана,"движение Де Стейл Пита Мондриана, геометрическая абстракция, основные цвета с черным и белым, прямые горизонтальные и вертикальные линии, сбалансированная асимметрия, духовная гармония через геометрию, сетчатая композиция","изогнутые линии, мультяшные персонажи, аниме стиль, представительные формы, органические формы, традиционная перспектива, эмоциональное выражение"
Wassily Kandinsky Баухаус | Баухаус Кандинского,"период Баухауса Василия Кандинского, геометрические формы со смыслом, применение теории цвета, абстрактная композиция, влияние музыкального ритма, точные геометрические формы, влияние супрематизма","фигуративное искусство, мультяшные персонажи, аниме стиль, фотореалистичные детали, традиционная перспектива, буквальное представление"
